Year,구분,국제기구,Value
2000,회원국,아시아개발은행,1.69492
2000,회원국,아프리카개발은행,1.2987
2000,회원국,미주개발은행,0.0
2000,회원국,국제부흥개발은행,0.54945
2000,회원국,국제금융공사,0.57471
2000,회원국,국제통화기금,0.5618
2000,회원국,유엔총회,0.5291
2000,회원국,세계무역기구,0.71429
2005,회원국,아시아개발은행,1.5625
2005,회원국,아프리카개발은행,1.2987
2005,회원국,유엔경제사회이사회,1.85185
2005,회원국,미주개발은행,2.1276599999999997
2005,회원국,국제부흥개발은행,0.54348
2005,회원국,국제금융공사,0.5618
2005,회원국,국제통화기금,0.5524899999999999
2005,회원국,유엔총회,0.52356
2005,회원국,세계무역기구,0.67114
2010,회원국,아시아개발은행,1.49254
2010,회원국,아프리카개발은행,1.2987
2010,회원국,유엔경제사회이사회,1.85185
2010,회원국,금융안정위원회,4.16667
2010,회원국,미주개발은행,2.08333
2010,회원국,국제부흥개발은행,0.53476
2010,회원국,국제금융공사,0.54945
2010,회원국,국제통화기금,0.54945
2010,회원국,유엔총회,0.52083
2010,회원국,세계무역기구,0.65359
2014,회원국,아프리카개발은행,1.2658200000000002
2015,회원국,아시아개발은행,1.49254
2015,회원국,아프리카개발은행,1.25
2015,회원국,금융안정위원회,4.16667
2015,회원국,미주개발은행,2.08333
2015,회원국,국제부흥개발은행,0.53191
2015,회원국,국제금융공사,0.54348
2015,회원국,국제통화기금,0.53191
2015,회원국,유엔총회,0.51813
2015,회원국,세계무역기구,0.625
2016,회원국,아시아개발은행,1.493
2016,회원국,아프리카개발은행,1.25
2016,회원국,유엔경제사회이사회,1.85185
2016,회원국,금융안정위원회,4.16667
2016,회원국,미주개발은행,2.08333
2016,회원국,국제부흥개발은행,0.53191
2016,회원국,국제금융공사,0.54348
2016,회원국,국제통화기금,0.53191
2016,회원국,유엔총회,0.51813
2016,회원국,세계무역기구,0.61728
2017,회원국,아시아개발은행,1.493
2017,회원국,아프리카개발은행,1.25
2017,회원국,유엔경제사회이사회,1.85185
2017,회원국,금융안정위원회,4.16667
2017,회원국,미주개발은행,2.08333
2017,회원국,국제부흥개발은행,0.5291
2017,회원국,국제금융공사,0.54348
2017,회원국,국제통화기금,0.5291
2017,회원국,유엔총회,0.51813
2017,회원국,세계무역기구,0.6097600000000001
2018,회원국,유엔경제사회이사회,1.85185
2018,회원국,금융안정위원회,4.16667
2018,회원국,국제부흥개발은행,0.5291
2018,회원국,국제금융공사,0.54348
2018,회원국,국제통화기금,0.5291
2018,회원국,유엔총회,0.51813
2018,회원국,세계무역기구,0.6097600000000001
2019,회원국,유엔경제사회이사회,1.8519999999999999
2019,회원국,금융안정위원회,4.167
2019,회원국,국제부흥개발은행,0.529
2019,회원국,국제금융공사,0.5429999999999999
2019,회원국,국제통화기금,0.529
2019,회원국,유엔총회,0.518
2019,회원국,세계무역기구,0.61
2000,투표권,아시아개발은행,4.4430000000000005
2000,투표권,아프리카개발은행,0.48700000000000004
2000,투표권,미주개발은행,0.0
2000,투표권,국제부흥개발은행,0.99824
2000,투표권,국제금융공사,0.6745399999999999
2000,투표권,국제통화기금,0.77477
2000,투표권,유엔총회,0.5291
2000,투표권,세계무역기구,0.71429
2005,투표권,아시아개발은행,4.375
2005,투표권,아프리카개발은행,0.466
2005,투표권,유엔경제사회이사회,1.85185
2005,투표권,미주개발은행,0.004
2005,투표권,국제부흥개발은행,0.99261
2005,투표권,국제금융공사,0.67248
2005,투표권,국제통화기금,0.76245
2005,투표권,유엔총회,0.52356
2005,투표권,세계무역기구,0.67114
2010,투표권,아시아개발은행,4.875
2010,투표권,아프리카개발은행,0.45799999999999996
2010,투표권,유엔경제사회이사회,1.85185
2010,투표권,금융안정위원회,3.84615
2010,투표권,미주개발은행,0.004
2010,투표권,국제부흥개발은행,0.9910100000000001
2010,투표권,국제금융공사,0.67067
2010,투표권,국제통화기금,1.3331
