Year,시도별,주거유형별,Value
2006,전국,,100.0
2006,전국,단독주택,44.5
2006,전국,아파트,41.8
2006,전국,연립주택,3.3
2006,전국,다세대주택,7.4
2006,전국,비거주용 건물내주택,1.8
2006,전국,주택이외의 거처,1.3
2006,수도권,,100.0
2006,수도권,단독주택,36.3
2006,수도권,아파트,44.0
2006,수도권,연립주택,5.1
2006,수도권,다세대주택,11.0
2006,수도권,비거주용 건물내주택,1.5
2006,수도권,주택이외의 거처,2.2
2006,광역시,,100.0
2006,광역시,단독주택,43.1
2006,광역시,아파트,45.6
2006,광역시,연립주택,1.5
2006,광역시,다세대주택,7.3
2006,광역시,비거주용 건물내주택,1.8
2006,광역시,주택이외의 거처,0.7
2006,도지역,,100.0
2006,도지역,단독주택,57.3
2006,도지역,아파트,36.1
2006,도지역,연립주택,2.0
2006,도지역,다세대주택,2.1
2006,도지역,비거주용 건물내주택,2.2
2006,도지역,주택이외의 거처,0.4
2008,전국,,100.0
2008,전국,단독주택,42.9
2008,전국,아파트,43.9
2008,전국,연립주택,3.3
2008,전국,다세대주택,7.2
2008,전국,비거주용 건물내주택,1.1
2008,전국,주택이외의 거처,1.6
2008,수도권,,100.0
2008,수도권,단독주택,35.8
2008,수도권,아파트,45.2
2008,수도권,연립주택,4.5
2008,수도권,다세대주택,11.5
2008,수도권,비거주용 건물내주택,0.7
2008,수도권,주택이외의 거처,2.4
2008,광역시,,100.0
2008,광역시,단독주택,41.6
2008,광역시,아파트,48.8
2008,광역시,연립주택,1.7
2008,광역시,다세대주택,5.4
2008,광역시,비거주용 건물내주택,1.7
2008,광역시,주택이외의 거처,0.7
2008,도지역,,100.0
2008,도지역,단독주택,54.2
2008,도지역,아파트,38.9
2008,도지역,연립주택,2.5
2008,도지역,다세대주택,2.0
2008,도지역,비거주용 건물내주택,1.3
2008,도지역,주택이외의 거처,1.1
2010,전국,,100.0
2010,전국,단독주택,40.4
2010,전국,아파트,47.1
2010,전국,연립주택,4.5
2010,전국,다세대주택,5.6
2010,전국,비거주용 건물내주택,1.1
2010,전국,주택이외의 거처,1.3
2010,수도권,,100.0
2010,수도권,단독주택,33.4
2010,수도권,아파트,48.3
2010,수도권,연립주택,6.4
2010,수도권,다세대주택,8.7
2010,수도권,비거주용 건물내주택,1.1
2010,수도권,주택이외의 거처,2.2
2010,광역시,,100.0
2010,광역시,단독주택,43.1
2010,광역시,아파트,45.6
2010,광역시,연립주택,1.5
2010,광역시,다세대주택,7.3
2010,광역시,비거주용 건물내주택,1.8
2010,광역시,주택이외의 거처,0.7
2010,도지역,,100.0
2010,도지역,단독주택,52.4
2010,도지역,아파트,41.4
2010,도지역,연립주택,2.9
2010,도지역,다세대주택,1.7
2010,도지역,비거주용 건물내주택,1.0
2010,도지역,주택이외의 거처,0.6
2012,전국,,100.0
2012,전국,단독주택,39.6
2012,전국,아파트,46.9
2012,전국,연립주택,3.0
2012,전국,다세대주택,7.2
2012,전국,비거주용 건물내주택,1.7
2012,전국,주택이외의 거처,1.7
2012,수도권,,100.0
2012,수도권,단독주택,32.8
2012,수도권,아파트,47.7
2012,수도권,연립주택,3.7
2012,수도권,다세대주택,11.4
2012,수도권,비거주용 건물내주택,1.6
2012,수도권,주택이외의 거처,2.8
2012,광역시,,100.0
2012,광역시,단독주택,37.7
2012,광역시,아파트,52.9
2012,광역시,연립주택,1.7
2012,광역시,다세대주택,5.2
2012,광역시,비거주용 건물내주택,1.7
2012,광역시,주택이외의 거처,0.8
2012,도지역,,100.0
2012,도지역,단독주택,51.1
2012,도지역,아파트,41.8
2012,도지역,연립주택,2.7
2012,도지역,다세대주택,2.0
2012,도지역,비거주용 건물내주택,1.6
2012,도지역,주택이외의 거처,0.8
2014,전국,,100.0
2014,전국,단독주택,37.5
2014,전국,아파트,49.6
2014,전국,연립주택,3.4
2014,전국,다세대주택,6.2
2014,전국,비거주용 건물내주택,1.0
2014,전국,주택이외의 거처,2.2
2014,수도권,,100.0
2014,수도권,단독주택,30.6
2014,수도권,아파트,50.8
2014,수도권,연립주택,5.0
2014,수도권,다세대주택,9.3
2014,수도권,비거주용 건물내주택,0.8
2014,수도권,주택이외의 거처,3.6
2014,광역시,,100.0
2014,광역시,단독주택,35.9
2014,광역시,아파트,55.4
2014,광역시,연립주택,2.1
2014,광역시,다세대주택,4.6
2014,광역시,비거주용 건물내주택,1.2
2014,광역시,주택이외의 거처,0.9
2014,도지역,,100.0
2014,도지역,단독주택,49.4
2014,도지역,아파트,44.0
2014,도지역,연립주택,1.7
2014,도지역,다세대주택,2.6
2014,도지역,비거주용 건물내주택,1.3
2014,도지역,주택이외의 거처,1.0
2016,전국,,100.0
2016,전국,단독주택,35.3
2016,전국,아파트,48.1
2016,전국,연립주택,2.2
2016,전국,다세대주택,8.9
2016,전국,비거주용 건물내주택,1.7
2016,전국,주택이외의 거처,3.7
2016,수도권,,100.0
2016,수도권,단독주택,27.3
2016,수도권,아파트,49.3
2016,수도권,연립주택,2.6
2016,수도권,다세대주택,14.2
2016,수도권,비거주용 건물내주택,0.5
2016,수도권,주택이외의 거처,6.1
2016,광역시,,100.0
2016,광역시,단독주택,33.3
2016,광역시,아파트,54.4
2016,광역시,연립주택,1.5
2016,광역시,다세대주택,6.1
2016,광역시,비거주용 건물내주택,2.4
2016,광역시,주택이외의 거처,2.2
2016,도지역,,100.0
2016,도지역,단독주택,48.6
2016,도지역,아파트,42.4
2016,도지역,연립주택,2.1
2016,도지역,다세대주택,2.7
2016,도지역,비거주용 건물내주택,3.1
2016,도지역,주택이외의 거처,1.1
2017,전국,,100.0
2017,전국,단독주택,34.3
2017,전국,아파트,48.6
2017,전국,연립주택,2.2
2017,전국,다세대주택,9.2
2017,전국,비거주용 건물내주택,1.6
2017,전국,주택이외의 거처,4.0
2017,수도권,,100.0
2017,수도권,단독주택,26.4
2017,수도권,아파트,49.7
2017,수도권,연립주택,2.6
2017,수도권,다세대주택,14.8
2017,수도권,비거주용 건물내주택,1.6
2017,수도권,주택이외의 거처,5.0
2017,광역시,,100.0
2017,광역시,단독주택,32.4
2017,광역시,아파트,55.4
2017,광역시,연립주택,1.5
2017,광역시,다세대주택,6.2
2017,광역시,비거주용 건물내주택,1.5
2017,광역시,주택이외의 거처,3.0
2017,도지역,,100.0
2017,도지역,단독주택,47.4
2017,도지역,아파트,42.9
2017,도지역,연립주택,2.2
2017,도지역,다세대주택,2.7
2017,도지역,비거주용 건물내주택,1.8
2017,도지역,주택이외의 거처,3.1
2018,전국,,100.0
2018,전국,단독주택,33.3
2018,전국,아파트,49.2
2018,전국,연립주택,2.2
2018,전국,다세대주택,9.3
2018,전국,비거주용 건물내주택,1.7
2018,전국,주택이외의 거처,4.4
2018,수도권,,100.0
2018,수도권,단독주택,25.3
2018,수도권,아파트,49.9
2018,수도권,연립주택,2.5
2018,수도권,다세대주택,15.0
2018,수도권,비거주용 건물내주택,1.6
2018,수도권,주택이외의 거처,5.7
2018,광역시 등,,100.0
2018,광역시 등,단독주택,31.2
2018,광역시 등,아파트,56.6
2018,광역시 등,연립주택,1.5
2018,광역시 등,다세대주택,6.1
2018,광역시 등,비거주용 건물내주택,1.5
2018,광역시 등,주택이외의 거처,3.1
2018,도지역,,100.0
2018,도지역,단독주택,46.9
2018,도지역,아파트,43.2
2018,도지역,연립주택,2.2
2018,도지역,다세대주택,2.7
2018,도지역,비거주용 건물내주택,1.9
2018,도지역,주택이외의 거처,3.1
2019,전국,,100.0
2019,전국,단독주택,32.1
2019,전국,아파트,50.1
2019,전국,연립주택,2.2
2019,전국,다세대주택,9.4
2019,전국,비거주용 건물내주택,1.6
2019,전국,주택이외의 거처,4.6
2019,수도권,,100.0
2019,수도권,단독주택,24.2
2019,수도권,아파트,50.7
2019,수도권,연립주택,2.5
2019,수도권,다세대주택,15.2
2019,수도권,비거주용 건물내주택,1.5
2019,수도권,주택이외의 거처,5.9
2019,광역시 등,,100.0
