Year,Units,처리방법별,Value
2000,발생량,,2756984.0
2000,처리방법,소각,584098.0
2000,처리방법,매립,336059.0
2000,처리방법,재활용,1398442.0
2000,처리방법,해양배출,181442.0
2000,처리방법,기타,325786.0
2001,발생량,,2930424.5
2001,처리방법,소각,647600.9
2001,처리방법,매립,452677.5
2001,처리방법,재활용,1445643.4
2001,처리방법,해양배출,92122.0
2001,처리방법,기타,288433.3
2002,발생량,,2880565.3
2002,처리방법,소각,470101.7
2002,처리방법,매립,505972.5
2002,처리방법,재활용,1701693.9
2002,처리방법,해양배출,0.0
2002,처리방법,기타,205260.8
2003,발생량,,2875930.0
2003,처리방법,소각,474713.2
2003,처리방법,매립,519196.7
2003,처리방법,재활용,1695097.5
2003,처리방법,기타,137085.3
2004,발생량,,2932421.1
2004,처리방법,소각,456696.4
2004,처리방법,매립,518765.6
2004,처리방법,재활용,1818210.6
2004,처리방법,기타,128741.5
2005,발생량,,3092596.9
2005,처리방법,소각,487816.9
2005,처리방법,매립,561084.1
2005,처리방법,재활용,1924581.2
2005,처리방법,기타,114202.9
2006,발생량,,3603030.7
2006,처리방법,소각,602487.3
2006,처리방법,매립,662143.0
2006,처리방법,재활용,2006976.5
2006,처리방법,기타,322438.3
2007,발생량,,3388826.9
2007,처리방법,소각,502523.7
2007,처리방법,매립,774432.6
2007,처리방법,재활용,1872771.3
2007,처리방법,기타,140220.7
2008,발생량,,3411162.9
2008,처리방법,소각,552261.2
2008,처리방법,매립,778071.5
2008,처리방법,재활용,1977634.3
2008,처리방법,기타,108587.6
2009,발생량,,3184610.5
2009,처리방법,소각,466144.4
2009,처리방법,매립,684896.1
2009,처리방법,재활용,1879709.1
2009,처리방법,기타,131156.7
2010,발생량,,3348186.1
2010,처리방법,소각,512995.7
2010,처리방법,매립,668171.7
2010,처리방법,재활용,1944232.4
2010,처리방법,기타,138115.9
2011,발생량,,3532345.5
2011,처리방법,소각,545208.3
2011,처리방법,매립,684205.4
2011,처리방법,재활용,2086771.0
2011,처리방법,기타,173216.7
2012,발생량,,4415188.0
2012,처리방법,소각,606638.2
2012,처리방법,매립,1048988.3
2012,처리방법,재활용,2477724.6
2012,처리방법,기타,244356.9
2013,발생량,,4377387.7
2013,처리방법,소각,626940.0
2013,처리방법,매립,865216.2
2013,처리방법,재활용,2675706.2
2013,처리방법,기타,203617.7
2014,발생량,,4638026.6
2014,처리방법,소각,604702.4
2014,처리방법,매립,923966.6
2014,처리방법,재활용,2754595.6
2014,처리방법,기타,293496.2
2015,발생량,,4691531.9
2015,처리방법,소각,613475.2
2015,처리방법,매립,973943.3
2015,처리방법,재활용,2814131.2
2015,처리방법,기타,238963.7
2016,발생량,,4813355.8
2016,처리방법,소각,644283.1
2016,처리방법,매립,1062004.8
2016,처리방법,재활용,2815576.5
2016,처리방법,기타,258584.8
2017,발생량,,5221277.3
2017,처리방법,소각,618482.2
2017,처리방법,매립,1188255.2
2017,처리방법,재활용,3058182.7
2017,처리방법,기타,305407.8
2018,발생량,,5378575.2
2018,처리방법,소각,607834.6
2018,처리방법,매립,1136989.1
2018,처리방법,재활용,3369253.9
2018,처리방법,기타,249654.0
