Year,구분,Value
2000,담수,36.75545
2001,담수,36.75545
2002,담수,36.75545
2003,담수,36.75545
2004,담수,36.770340000000004
2005,담수,36.7755
2006,담수,36.78096
2007,담수,36.78133
2008,담수,36.78133
2009,담수,36.78133
2010,담수,36.78133
2011,담수,36.78133
2012,담수,36.78133
2013,담수,36.78861
2014,담수,36.78861
2015,담수,36.78861
2016,담수,36.78861
2017,담수,36.78861
2018,담수,36.78861
2019,담수,36.78861
2000,육상,24.81306
2001,육상,24.81306
2002,육상,24.81702
2003,육상,25.93083
2004,육상,25.94368
2005,육상,26.400170000000003
2006,육상,29.51442
2007,육상,29.95778
2008,육상,33.37738
2009,육상,33.78673
2010,육상,33.78673
2011,육상,33.894740000000006
2012,육상,36.394740000000006
2013,육상,36.397290000000005
2014,육상,36.397290000000005
2015,육상,36.398270000000004
2016,육상,36.398270000000004
2017,육상,36.52263
2018,육상,37.47495
2019,육상,37.47495
