Year,Age,Sex,Region,Police Force Area,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2011,,,,,"Rate per 100,000 population",Units,Undefined,,0.81014
2012,,,,,"Rate per 100,000 population",Units,Undefined,,0.8708299999999999
2013,,,,,"Rate per 100,000 population",Units,Undefined,,0.70163
2014,,,,,"Rate per 100,000 population",Units,Undefined,,0.7482300000000001
2015,,,,,"Rate per 100,000 population",Units,Undefined,,0.7412
2016,,,,,"Rate per 100,000 population",Units,Undefined,,0.71096
2017,,,,,"Rate per 100,000 population",Units,Undefined,,0.5904
2011,,Male,,,"Rate per 100,000 population",Units,Undefined,,0.74241
2012,,Male,,,"Rate per 100,000 population",Units,Undefined,,0.86339
2013,,Male,,,"Rate per 100,000 population",Units,Undefined,,0.67671
2014,,Male,,,"Rate per 100,000 population",Units,Undefined,,0.72943
2015,,Male,,,"Rate per 100,000 population",Units,Undefined,,0.69892
2016,,Male,,,"Rate per 100,000 population",Units,Undefined,,0.6492
2017,,Male,,,"Rate per 100,000 population",Units,Undefined,,0.57624
2011,,Female,,,"Rate per 100,000 population",Units,Undefined,,0.8700600000000001
2012,,Female,,,"Rate per 100,000 population",Units,Undefined,,0.8783
2013,,Female,,,"Rate per 100,000 population",Units,Undefined,,0.8266100000000001
2014,,Female,,,"Rate per 100,000 population",Units,Undefined,,0.76707
2015,,Female,,,"Rate per 100,000 population",Units,Undefined,,0.78357
2016,,Female,,,"Rate per 100,000 population",Units,Undefined,,0.77286
2017,,Female,,,"Rate per 100,000 population",Units,Undefined,,0.6006600000000001
