Year,서비스유형별,동･읍면부별,성별,가구소득별,Value
2016,공청회·청문회,,,,16.7
2017,공청회·청문회,,,,25.5
2018,공청회·청문회,,,,42.2
2019,공청회·청문회,,,,33.0
2016,공청회·청문회,도시(동부),,,15.4
2017,공청회·청문회,도시(동부),,,23.9
2018,공청회·청문회,도시(동부),,,38.1
2019,공청회·청문회,도시(동부),,,34.5
2016,공청회·청문회,농어촌(읍면부),,,24.4
2017,공청회·청문회,농어촌(읍면부),,,33.9
2018,공청회·청문회,농어촌(읍면부),,,60.0
2019,공청회·청문회,농어촌(읍면부),,,25.7
2016,공청회·청문회,,남자,,16.2
2017,공청회·청문회,,남자,,24.5
2018,공청회·청문회,,남자,,33.0
2019,공청회·청문회,,남자,,25.1
2016,공청회·청문회,,여자,,17.5
2017,공청회·청문회,,여자,,27.0
2018,공청회·청문회,,여자,,56.9
2019,공청회·청문회,,여자,,43.3
2016,공청회·청문회,,,100만원 미만,7.4
2017,공청회·청문회,,,100만원 미만,20.6
2018,공청회·청문회,,,100만원 미만,25.2
2019,공청회·청문회,,,100만원 미만,0.0
2016,공청회·청문회,,,100~200만원 미만,19.7
2017,공청회·청문회,,,100~200만원 미만,33.2
2018,공청회·청문회,,,100~200만원 미만,68.4
2019,공청회·청문회,,,100~200만원 미만,0.0
2016,공청회·청문회,,,200~300만원 미만,9.9
2017,공청회·청문회,,,200~300만원 미만,16.6
2018,공청회·청문회,,,200~300만원 미만,30.2
2019,공청회·청문회,,,200~300만원 미만,40.3
2016,공청회·청문회,,,300~400만원 미만,26.8
2017,공청회·청문회,,,300~400만원 미만,35.7
2018,공청회·청문회,,,300~400만원 미만,21.5
2019,공청회·청문회,,,300~400만원 미만,58.6
2016,공청회·청문회,,,400~500만원 미만,12.8
2017,공청회·청문회,,,400~500만원 미만,34.5
2018,공청회·청문회,,,400~500만원 미만,43.9
2019,공청회·청문회,,,400~500만원 미만,28.4
2016,공청회·청문회,,,500~600만원 미만,25.8
2017,공청회·청문회,,,500~600만원 미만,23.8
2018,공청회·청문회,,,500~600만원 미만,59.2
2019,공청회·청문회,,,500~600만원 미만,14.8
2016,공청회·청문회,,,600만원 이상,13.6
2017,공청회·청문회,,,600만원 이상,18.0
2018,공청회·청문회,,,600만원 이상,52.8
2019,공청회·청문회,,,600만원 이상,34.9
2016,주민참여예산,,,,44.0
2017,주민참여예산,,,,40.8
2018,주민참여예산,,,,50.9
2019,주민참여예산,,,,44.3
2016,주민참여예산,도시(동부),,,39.8
2017,주민참여예산,도시(동부),,,33.9
2018,주민참여예산,도시(동부),,,45.0
2019,주민참여예산,도시(동부),,,42.9
2016,주민참여예산,농어촌(읍면부),,,58.4
2017,주민참여예산,농어촌(읍면부),,,59.5
2018,주민참여예산,농어촌(읍면부),,,74.6
2019,주민참여예산,농어촌(읍면부),,,52.9
2016,주민참여예산,,남자,,38.5
2017,주민참여예산,,남자,,36.7
2018,주민참여예산,,남자,,34.7
2019,주민참여예산,,남자,,40.6
2016,주민참여예산,,여자,,52.2
2017,주민참여예산,,여자,,45.9
2018,주민참여예산,,여자,,70.8
2019,주민참여예산,,여자,,48.5
2016,주민참여예산,,,100만원 미만,35.9
2017,주민참여예산,,,100만원 미만,36.6
2018,주민참여예산,,,100만원 미만,43.2
2019,주민참여예산,,,100만원 미만,21.9
2016,주민참여예산,,,100~200만원 미만,33.2
2017,주민참여예산,,,100~200만원 미만,58.7
2018,주민참여예산,,,100~200만원 미만,66.8
2019,주민참여예산,,,100~200만원 미만,25.8
2016,주민참여예산,,,200~300만원 미만,36.5
2017,주민참여예산,,,200~300만원 미만,27.9
2018,주민참여예산,,,200~300만원 미만,38.1
2019,주민참여예산,,,200~300만원 미만,56.4
2016,주민참여예산,,,300~400만원 미만,51.3
2017,주민참여예산,,,300~400만원 미만,36.7
2018,주민참여예산,,,300~400만원 미만,46.0
2019,주민참여예산,,,300~400만원 미만,66.4
2016,주민참여예산,,,400~500만원 미만,41.1
2017,주민참여예산,,,400~500만원 미만,39.4
2018,주민참여예산,,,400~500만원 미만,61.0
2019,주민참여예산,,,400~500만원 미만,42.4
2016,주민참여예산,,,500~600만원 미만,65.0
2017,주민참여예산,,,500~600만원 미만,52.5
2018,주민참여예산,,,500~600만원 미만,47.7
2019,주민참여예산,,,500~600만원 미만,47.1
2016,주민참여예산,,,600만원 이상,32.1
2017,주민참여예산,,,600만원 이상,33.2
2018,주민참여예산,,,600만원 이상,67.8
2019,주민참여예산,,,600만원 이상,37.3
2016,주민자치센터,,,,74.6
2017,주민자치센터,,,,82.5
2018,주민자치센터,,,,79.1
2019,주민자치센터,,,,77.3
2016,주민자치센터,도시(동부),,,73.8
2017,주민자치센터,도시(동부),,,82.7
2018,주민자치센터,도시(동부),,,80.6
2019,주민자치센터,도시(동부),,,76.3
2016,주민자치센터,농어촌(읍면부),,,79.0
2017,주민자치센터,농어촌(읍면부),,,81.2
2018,주민자치센터,농어촌(읍면부),,,72.8
2019,주민자치센터,농어촌(읍면부),,,81.7
2016,주민자치센터,,남자,,74.0
2017,주민자치센터,,남자,,84.4
2018,주민자치센터,,남자,,78.2
2019,주민자치센터,,남자,,75.7
2016,주민자치센터,,여자,,75.3
2017,주민자치센터,,여자,,80.6
2018,주민자치센터,,여자,,79.9
2019,주민자치센터,,여자,,78.9
2016,주민자치센터,,,100만원 미만,72.4
2017,주민자치센터,,,100만원 미만,73.7
2018,주민자치센터,,,100만원 미만,76.4
2019,주민자치센터,,,100만원 미만,82.1
2016,주민자치센터,,,100~200만원 미만,70.7
2017,주민자치센터,,,100~200만원 미만,82.8
2018,주민자치센터,,,100~200만원 미만,78.6
2019,주민자치센터,,,100~200만원 미만,78.3
2016,주민자치센터,,,200~300만원 미만,74.3
2017,주민자치센터,,,200~300만원 미만,82.7
2018,주민자치센터,,,200~300만원 미만,75.1
2019,주민자치센터,,,200~300만원 미만,75.5
2016,주민자치센터,,,300~400만원 미만,75.3
2017,주민자치센터,,,300~400만원 미만,81.3
2018,주민자치센터,,,300~400만원 미만,77.4
