Year,Revenue category,Source of revenue,Unit measure,Unit multiplier,Observation status,Value
2000,,Capital transfers to central government,Percentage (%),Units,Undefined,16.6766
2001,,Capital transfers to central government,Percentage (%),Units,Undefined,15.6819
2002,,Capital transfers to central government,Percentage (%),Units,Undefined,15.4189
2003,,Capital transfers to central government,Percentage (%),Units,Undefined,15.5902
2004,,Capital transfers to central government,Percentage (%),Units,Undefined,14.7412
2005,,Capital transfers to central government,Percentage (%),Units,Undefined,14.9201
2006,,Capital transfers to central government,Percentage (%),Units,Undefined,15.4138
2012,,Capital transfers to central government,Percentage (%),Units,Undefined,23.8609
2013,,Capital transfers to central government,Percentage (%),Units,Undefined,23.2903
2014,,Capital transfers to central government,Percentage (%),Units,Undefined,22.8072
2015,,Capital transfers to central government,Percentage (%),Units,Undefined,22.6034
2016,,Capital transfers to central government,Percentage (%),Units,Undefined,23.5854
2017,,Capital transfers to central government,Percentage (%),Units,Undefined,23.8428
