Year,관세제도,생산품유형,Value
2000,최혜국 관세,전체,2.00656
2000,최혜국 관세,농업,10.31922
2000,특혜 관세,오일,0.29983000000000004
2000,최혜국 관세,공산품,1.8984
2000,최혜국 관세,오일,0.29983000000000004
2000,특혜 관세,공산품,1.8722299999999998
2000,최혜국 관세,직물,8.44352
2000,특혜 관세,무기,1.04129
2000,최혜국 관세,무기,1.1134700000000002
2000,특혜 관세,전체,1.98015
2000,특혜 관세,농업,10.24572
2000,특혜 관세,직물,8.393180000000001
2000,최혜국 관세,의류,13.328779999999998
2000,특혜 관세,의류,13.28555
2005,최혜국 관세,농업,11.11541
2005,최혜국 관세,의류,12.37509
2005,최혜국 관세,무기,1.03352
2005,특혜 관세,오일,0.16938
2005,특혜 관세,직물,7.119160000000001
2005,최혜국 관세,직물,7.14779
2005,최혜국 관세,오일,0.16938
2005,특혜 관세,전체,1.84785
2005,특혜 관세,농업,11.04442
2005,특혜 관세,의류,12.33657
2005,특혜 관세,무기,0.9637600000000001
2005,최혜국 관세,공산품,1.77099
2005,최혜국 관세,전체,1.8716599999999999
2005,특혜 관세,공산품,1.74735
2010,최혜국 관세,농업,10.80633
2010,특혜 관세,농업,10.60588
2010,특혜 관세,직물,6.91516
2010,최혜국 관세,직물,6.9818
2010,특혜 관세,전체,1.5983
2010,최혜국 관세,오일,0.0
2010,최혜국 관세,공산품,1.5111700000000001
2010,최혜국 관세,무기,1.0358399999999999
2010,최혜국 관세,전체,1.61574
2010,특혜 관세,공산품,1.49463
2010,특혜 관세,오일,0.0
2010,특혜 관세,무기,0.96139
2010,특혜 관세,의류,12.52568
2010,최혜국 관세,의류,12.62214
2011,최혜국 관세,직물,6.94097
2011,최혜국 관세,오일,0.0
2011,특혜 관세,공산품,1.06726
2011,최혜국 관세,공산품,1.50841
2011,특혜 관세,오일,0.0
2011,특혜 관세,전체,1.1392
2011,최혜국 관세,무기,1.0217
2011,특혜 관세,무기,0.59477
2011,특혜 관세,농업,6.19085
2011,최혜국 관세,농업,10.8298
2011,최혜국 관세,전체,1.6129
2011,특혜 관세,의류,9.005360000000001
2011,최혜국 관세,의류,12.61458
2011,특혜 관세,직물,4.48744
2012,최혜국 관세,농업,10.17327
2012,특혜 관세,의류,9.007819999999999
2012,최혜국 관세,공산품,1.50683
2012,최혜국 관세,직물,6.9168899999999995
2012,특혜 관세,무기,0.63105
2012,특혜 관세,공산품,1.08191
2012,특혜 관세,농업,5.5231
2012,최혜국 관세,전체,1.61055
2012,최혜국 관세,의류,12.61698
2012,최혜국 관세,오일,0.0
2012,특혜 관세,오일,0.0
2012,특혜 관세,직물,4.46561
2012,특혜 관세,전체,1.1529
2012,최혜국 관세,무기,1.07443
2013,특혜 관세,농업,5.19522
2013,특혜 관세,전체,0.6988
2013,최혜국 관세,직물,6.91172
2013,최혜국 관세,무기,1.07443
2013,특혜 관세,공산품,0.67177
2013,최혜국 관세,농업,10.71739
2013,최혜국 관세,전체,1.60474
2013,특혜 관세,오일,0.0
2013,최혜국 관세,의류,12.60162
2013,특혜 관세,의류,3.19203
2013,최혜국 관세,공산품,1.50045
2013,최혜국 관세,오일,0.0
2013,특혜 관세,무기,0.28081
2013,특혜 관세,직물,2.1636
2014,특혜 관세,무기,0.28081
2014,최혜국 관세,무기,1.07445
2014,최혜국 관세,전체,1.6071
2014,특혜 관세,전체,0.5889800000000001
2014,특혜 관세,농업,4.88385
2014,최혜국 관세,농업,10.77018
2014,최혜국 관세,직물,6.89907
2014,최혜국 관세,의류,12.63986
2014,특혜 관세,공산품,0.5631
2014,특혜 관세,오일,0.0
2014,최혜국 관세,오일,0.0
2014,최혜국 관세,공산품,1.50251
2014,특혜 관세,직물,1.9012200000000001
2014,특혜 관세,의류,3.00212
2015,최혜국 관세,직물,6.94045
2015,최혜국 관세,오일,0.0
2015,특혜 관세,농업,4.47635
2015,최혜국 관세,전체,1.7313
2015,최혜국 관세,공산품,1.62873
2015,특혜 관세,직물,1.6434400000000002
2015,특혜 관세,오일,0.0
2015,최혜국 관세,농업,10.7474
2015,특혜 관세,공산품,0.5080100000000001
2015,특혜 관세,의류,2.5464700000000002
2015,특혜 관세,무기,0.28052
2015,특혜 관세,전체,0.53009
2015,최혜국 관세,무기,1.07445
2015,최혜국 관세,의류,12.54273
2016,최혜국 관세,농업,10.76111
2016,특혜 관세,농업,4.06457
2016,최혜국 관세,전체,1.6752799999999999
2016,특혜 관세,전체,0.16647
2016,특혜 관세,오일,0.0
2016,특혜 관세,직물,1.27852
2016,최혜국 관세,오일,0.0
2016,최혜국 관세,직물,6.9851
2016,최혜국 관세,무기,1.0745
2016,특혜 관세,공산품,0.14473
2016,최혜국 관세,공산품,1.5719999999999998
2016,특혜 관세,의류,2.14519
2016,최혜국 관세,의류,12.542119999999999
2016,특혜 관세,무기,0.03395
2017,특혜 관세,공산품,0.16785999999999998
2017,특혜 관세,의류,1.86969
2017,특혜 관세,전체,0.18639
2017,최혜국 관세,전체,1.88355
2017,최혜국 관세,무기,1.02403
2017,최혜국 관세,의류,12.39252
2017,특혜 관세,직물,1.1422299999999999
2017,최혜국 관세,직물,6.85683
2017,최혜국 관세,오일,0.0
2017,특혜 관세,오일,0.0
2017,최혜국 관세,공산품,1.78455
2017,특혜 관세,무기,0.033260000000000005
2017,최혜국 관세,농업,10.20863
2017,특혜 관세,농업,3.51956
