Year,Units,Type of product,Value
2001,거주지역별,동,18.0
2001,거주지역별,읍면,20.0
2005,거주지역별,동,11.4
2005,거주지역별,읍면,12.3
2007,거주지역별,동,17.4
2007,거주지역별,읍면,16.2
2008,거주지역별,동,13.6
2008,거주지역별,읍면,14.6
2009,거주지역별,동,13.9
2009,거주지역별,읍면,15.7
2010,거주지역별,동,10.2
2010,거주지역별,읍면,9.5
2011,거주지역별,동,11.0
2011,거주지역별,읍면,9.0
2012,거주지역별,동,11.1
2012,거주지역별,읍면,15.2
2013,거주지역별,동,8.3
2013,거주지역별,읍면,7.1
2014,거주지역별,동,7.9
2014,거주지역별,읍면,8.5
2015,거주지역별,동,8.6
2015,거주지역별,읍면,8.5
2016,거주지역별,동,11.9
2016,거주지역별,읍면,15.3
2017,거주지역별,동,13.1
2017,거주지역별,읍면,14.7
2018,거주지역별,동,12.9
2018,거주지역별,읍면,12.6
