Year,구분,세분화,Value
2005,전체,,87.9
2005,거주지역별,동,88.2
2005,거주지역별,읍면,86.6
2005,소득수준별,하,73.4
2005,소득수준별,중하,86.4
2005,소득수준별,중,92.0
2005,소득수준별,중상,94.3
2005,소득수준별,상,99.7
2007,전체,,89.0
2007,거주지역별,동,90.2
2007,거주지역별,읍면,85.0
2007,소득수준별,하,72.8
2007,소득수준별,중하,87.2
2007,소득수준별,중,96.4
2007,소득수준별,중상,98.1
2007,소득수준별,상,99.3
2008,전체,,88.2
2008,거주지역별,동,89.2
2008,거주지역별,읍면,84.0
2008,소득수준별,하,70.7
2008,소득수준별,중하,88.0
2008,소득수준별,중,92.3
2008,소득수준별,중상,96.6
2008,소득수준별,상,99.0
2009,전체,,92.0
2009,거주지역별,동,92.4
2009,거주지역별,읍면,90.7
2009,소득수준별,하,80.6
2009,소득수준별,중하,93.2
2009,소득수준별,중,94.4
2009,소득수준별,중상,97.8
2009,소득수준별,상,99.6
2010,전체,,95.4
2010,거주지역별,동,95.0
2010,거주지역별,읍면,96.6
2010,소득수준별,하,88.1
2010,소득수준별,중하,97.5
2010,소득수준별,중,98.6
2010,소득수준별,중상,99.6
2010,소득수준별,상,99.2
2011,전체,,95.2
2011,거주지역별,동,95.5
2011,거주지역별,읍면,94.4
2011,소득수준별,하,88.2
2011,소득수준별,중하,97.1
2011,소득수준별,중,98.7
2011,소득수준별,중상,98.6
2011,소득수준별,상,99.7
2012,전체,,92.2
2012,거주지역별,동,92.1
2012,거주지역별,읍면,92.3
2012,소득수준별,하,82.1
2012,소득수준별,중하,92.6
2012,소득수준별,중,98.7
2012,소득수준별,중상,98.7
2012,소득수준별,상,99.6
2013,전체,,93.5
2013,거주지역별,동,92.8
2013,거주지역별,읍면,96.2
2013,소득수준별,하,82.1
2013,소득수준별,중하,95.9
2013,소득수준별,중,98.2
2013,소득수준별,중상,98.5
2013,소득수준별,상,99.5
2014,전체,,93.8
2014,거주지역별,동,93.8
2014,거주지역별,읍면,94.0
2014,소득수준별,하,84.9
2014,소득수준별,중하,93.4
2014,소득수준별,중,97.6
2014,소득수준별,중상,99.6
2014,소득수준별,상,99.5
2015,전체,,93.5
2015,거주지역별,동,93.4
2015,거주지역별,읍면,93.8
2015,소득수준별,하,84.4
2015,소득수준별,중하,94.3
2015,소득수준별,중,95.0
2015,소득수준별,중상,98.8
2015,소득수준별,상,99.7
2016,전체,,95.8
2016,거주지역별,동,95.9
2016,거주지역별,읍면,95.2
2016,소득수준별,하,89.2
2016,소득수준별,중하,96.1
2016,소득수준별,중,97.9
2016,소득수준별,중상,99.7
2016,소득수준별,상,99.5
2017,전체,,96.3
2017,거주지역별,동,96.5
2017,거주지역별,읍면,94.9
2017,소득수준별,하,88.2
2017,소득수준별,중하,94.9
2017,소득수준별,중,98.4
2017,소득수준별,중상,99.8
2017,소득수준별,상,99.5
2018,전체,,96.9
2018,거주지역별,동,97.1
2018,거주지역별,읍면,96.0
2018,소득수준별,하,88.5
2018,소득수준별,중하,97.7
2018,소득수준별,중,98.6
2018,소득수준별,중상,99.5
2018,소득수준별,상,99.9
