Year,질병유형,성별,Value
2000,암,,122.4
2000,암,남,156.0
2000,암,여,88.6
2000,당뇨,,22.7
2000,당뇨,남,22.6
2000,당뇨,여,22.8
2000,순환계통,,123.8
2000,순환계통,남,119.4
2000,순환계통,여,128.2
2000,호흡기,,34.0
2000,호흡기,남,38.7
2000,호흡기,여,29.3
2001,암,,123.8
2001,암,남,157.3
2001,암,여,90.1
2001,당뇨,,23.9
2001,당뇨,남,23.6
2001,당뇨,여,24.3
2001,순환계통,,121.3
2001,순환계통,남,117.7
2001,순환계통,여,125.0
2001,호흡기,,32.9
2001,호흡기,남,37.8
2001,호흡기,여,27.9
2002,암,,130.9
2002,암,남,166.4
2002,암,여,95.2
2002,당뇨,,25.2
2002,당뇨,남,24.4
2002,당뇨,여,26.1
2002,순환계통,,128.4
2002,순환계통,남,121.8
2002,순환계통,여,135.1
2002,호흡기,,34.7
2002,호흡기,남,38.7
2002,호흡기,여,30.6
2003,암,,131.9
2003,암,남,166.3
2003,암,여,97.3
2003,당뇨,,25.2
2003,당뇨,남,24.9
2003,당뇨,여,25.4
2003,순환계통,,125.2
2003,순환계통,남,118.5
2003,순환계통,여,131.9
2003,호흡기,,30.1
2003,호흡기,남,34.2
2003,호흡기,여,26.0
2004,암,,133.4
2004,암,남,169.6
2004,암,여,97.1
2004,당뇨,,24.4
2004,당뇨,남,24.2
2004,당뇨,여,24.6
2004,순환계통,,120.9
2004,순환계통,남,115.6
2004,순환계통,여,126.2
2004,호흡기,,29.5
2004,호흡기,남,35.8
2004,호흡기,여,23.2
2005,암,,134.6
2005,암,남,169.3
2005,암,여,99.7
2005,당뇨,,24.3
2005,당뇨,남,24.5
2005,당뇨,여,24.2
2005,순환계통,,116.5
2005,순환계통,남,112.1
2005,순환계통,여,120.9
2005,호흡기,,29.4
2005,호흡기,남,34.6
2005,호흡기,여,24.2
2006,암,,134.8
2006,암,남,171.6
2006,암,여,97.9
2006,당뇨,,23.8
2006,당뇨,남,23.8
2006,당뇨,여,23.8
2006,순환계통,,115.6
2006,순환계통,남,110.9
2006,순환계통,여,120.3
2006,호흡기,,29.3
2006,호흡기,남,34.6
2006,호흡기,여,24.0
2007,암,,138.1
2007,암,남,174.3
2007,암,여,101.8
2007,당뇨,,23.1
2007,당뇨,남,23.2
