Year,Sex,Age,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2000,,,,,Undefined,Units,"Rate per 100,000 population",,14.8
2005,,,,,Undefined,Units,"Rate per 100,000 population",,26.8
2010,,,,,Undefined,Units,"Rate per 100,000 population",,34.1
2015,,,,,Undefined,Units,"Rate per 100,000 population",,28.3
2016,,,,,Undefined,Units,"Rate per 100,000 population",,26.9
2000,Male,,,,Undefined,Units,"Rate per 100,000 population",,20.3
2005,Male,,,,Undefined,Units,"Rate per 100,000 population",,35.7
2010,Male,,,,Undefined,Units,"Rate per 100,000 population",,45.1
2015,Male,,,,Undefined,Units,"Rate per 100,000 population",,39.9
2016,Male,,,,Undefined,Units,"Rate per 100,000 population",,38.4
2000,Female,,,,Undefined,Units,"Rate per 100,000 population",,9.3
2005,Female,,,,Undefined,Units,"Rate per 100,000 population",,17.8
2010,Female,,,,Undefined,Units,"Rate per 100,000 population",,23.1
2015,Female,,,,Undefined,Units,"Rate per 100,000 population",,16.5
2016,Female,,,,Undefined,Units,"Rate per 100,000 population",,15.4
