Year,지역,Value
2000,전국,2.6
2000,서울,1.3
2000,부산,1.4
2000,대구,1.6
2000,인천,2.4
2000,광주,3.2
2000,대전,2.9
2000,울산,1.7
2000,세종,
2000,경기,3.0
2000,강원,3.9
2000,충북,3.9
2000,충남,5.1
2000,전북,4.5
2000,전남,4.5
2000,경북,2.6
2000,경남,2.7
2000,제주,4.1
2001,전국,2.4
2001,서울,2.4
2001,부산,2.4
2001,대구,2.4
2001,인천,2.4
2001,광주,2.4
2001,대전,2.4
2001,울산,2.4
2001,세종,2.4
2001,경기,2.4
2001,강원,2.4
2001,충북,2.4
2001,충남,2.4
2001,전북,2.4
2001,전남,2.4
2001,경북,2.4
2001,경남,2.4
2001,제주,2.4
2002,전국,2.7
2002,서울,2.2
2002,부산,2.0
2002,대구,1.5
2002,인천,3.3
2002,광주,3.8
2002,대전,3.4
2002,울산,2.7
2002,세종,
2002,경기,3.0
2002,강원,3.8
2002,충북,3.7
2002,충남,4.1
2002,전북,3.5
2002,전남,3.4
2002,경북,2.2
2002,경남,1.9
2002,제주,3.2
2003,전국,2.5
2003,서울,1.8
2003,부산,1.6
2003,대구,1.8
2003,인천,2.4
2003,광주,3.1
2003,대전,2.6
2003,울산,2.2
2003,세종,
2003,경기,2.8
2003,강원,3.1
2003,충북,3.2
2003,충남,3.9
2003,전북,3.6
2003,전남,4.3
2003,경북,2.5
2003,경남,2.5
2003,제주,2.5
2004,전국,2.4
2004,서울,1.7
2004,부산,1.5
2004,대구,1.6
2004,인천,2.1
2004,광주,2.7
2004,대전,2.2
2004,울산,2.4
2004,세종,
2004,경기,2.8
2004,강원,3.0
2004,충북,3.2
2004,충남,3.9
2004,전북,3.5
2004,전남,4.0
2004,경북,2.1
2004,경남,1.7
2004,제주,2.8
2005,전국,2.2
2005,서울,1.5
2005,부산,1.2
2005,대구,1.7
2005,인천,2.1
2005,광주,2.0
2005,대전,2.1
2005,울산,1.9
2005,세종,
2005,경기,2.3
2005,강원,2.7
2005,충북,2.9
2005,충남,3.3
2005,전북,3.3
2005,전남,3.6
2005,경북,2.6
2005,경남,2.2
2005,제주,2.2
2006,전국,2.2
2006,서울,1.5
2006,부산,1.1
2006,대구,1.6
2006,인천,2.0
2006,광주,2.3
2006,대전,2.0
2006,울산,2.1
2006,세종,
2006,경기,2.2
2006,강원,2.9
2006,충북,2.6
2006,충남,3.7
2006,전북,3.6
2006,전남,3.6
2006,경북,3.0
2006,경남,2.6
2006,제주,3.2
2007,전국,2.3
2007,서울,1.4
2007,부산,1.7
2007,대구,1.8
2007,인천,1.8
2007,광주,2.2
2007,대전,1.8
2007,울산,2.5
2007,세종,
2007,경기,2.1
2007,강원,2.8
2007,충북,2.9
2007,충남,3.4
2007,전북,3.7
2007,전남,4.8
2007,경북,3.7
2007,경남,2.8
2007,제주,2.2
2008,전국,1.7
2008,서울,1.1
2008,부산,1.3
2008,대구,1.5
2008,인천,1.2
2008,광주,2.1
2008,대전,2.2
2008,울산,1.5
2008,세종,
2008,경기,1.6
2008,강원,2.3
2008,충북,2.0
2008,충남,2.7
2008,전북,2.4
2008,전남,3.2
2008,경북,2.3
2008,경남,2.4
2008,제주,1.9
2009,전국,1.7
2009,서울,1.0
2009,부산,1.5
2009,대구,1.2
2009,인천,1.9
2009,광주,1.7
2009,대전,2.2
2009,울산,1.3
2009,세종,
2009,경기,1.5
2009,강원,2.5
2009,충북,2.3
2009,충남,2.6
2009,전북,2.4
2009,전남,3.4
2009,경북,2.3
2009,경남,2.2
2009,제주,2.8
2010,전국,1.8
2010,서울,1.1
2010,부산,1.6
2010,대구,1.3
2010,인천,2.0
2010,광주,1.8
2010,대전,1.4
2010,울산,1.7
2010,세종,
2010,경기,1.6
2010,강원,2.1
2010,충북,2.2
2010,충남,2.6
2010,전북,2.8
2010,전남,2.9
2010,경북,2.6
2010,경남,2.0
2010,제주,2.6
2011,전국,1.8
2011,서울,1.0
2011,부산,1.6
2011,대구,1.2
2011,인천,1.9
2011,광주,2.0
2011,대전,1.9
2011,울산,1.5
2011,세종,
2011,경기,1.6
2011,강원,2.6
2011,충북,2.5
2011,충남,2.9
2011,전북,2.8
2011,전남,3.0
2011,경북,2.5
2011,경남,2.1
2011,제주,2.1
2012,전국,1.8
2012,서울,1.2
2012,부산,1.6
2012,대구,1.1
2012,인천,1.8
2012,광주,1.9
2012,대전,2.3
2012,울산,1.4
2012,세종,2.2
2012,경기,1.5
2012,강원,2.3
2012,충북,2.6
2012,충남,2.8
2012,전북,2.6
2012,전남,2.7
2012,경북,2.1
2012,경남,2.1
2012,제주,2.5
2013,전국,1.7
2013,서울,1.2
2013,부산,1.8
2013,대구,1.6
2013,인천,1.7
2013,광주,1.7
2013,대전,1.9
2013,울산,1.8
2013,세종,1.7
2013,경기,1.4
2013,강원,2.4
2013,충북,2.2
2013,충남,2.4
2013,전북,2.3
2013,전남,2.9
2013,경북,2.4
2013,경남,1.8
2013,제주,2.6
2014,전국,1.6
2014,서울,1.0
2014,부산,1.5
2014,대구,1.3
2014,인천,1.7
2014,광주,1.7
2014,대전,1.8
2014,울산,1.3
2014,세종,1.7
2014,경기,1.3
2014,강원,2.0
2014,충북,2.0
2014,충남,2.3
2014,전북,2.5
2014,전남,2.6
2014,경북,2.4
2014,경남,1.5
2014,제주,2.7
2015,전국,1.4
2015,서울,1.0
2015,부산,1.4
2015,대구,1.1
2015,인천,1.6
2015,광주,1.4
2015,대전,1.8
2015,울산,1.6
2015,세종,1.3
2015,경기,1.1
2015,강원,2.1
2015,충북,2.0
2015,충남,2.0
2015,전북,1.9
2015,전남,2.1
2015,경북,1.7
2015,경남,1.7
2015,제주,2.7
2016,전국,1.3
2016,서울,0.9
2016,부산,1.5
2016,대구,0.9
2016,인천,1.4
2016,광주,1.4
2016,대전,1.4
2016,울산,1.3
2016,세종,1.1
2016,경기,1.0
2016,강원,1.5
2016,충북,1.6
2016,충남,2.0
2016,전북,1.5
2016,전남,2.0
2016,경북,1.4
2016,경남,1.2
2016,제주,2.3
2017,전국,1.0
2017,서울,0.7
2017,부산,1.1
2017,대구,0.8
2017,인천,1.2
2017,광주,1.2
2017,대전,1.5
2017,울산,1.1
2017,세종,0.8
2017,경기,0.8
2017,강원,1.4
2017,충북,1.5
2017,충남,1.8
2017,전북,1.3
2017,전남,1.8
2017,경북,1.1
2017,경남,1.1
2017,제주,1.6
2018,전국,0.9
2018,서울,0.6
2018,부산,1.1
2018,대구,0.7
2018,인천,1.2
2018,광주,1.0
2018,대전,1.3
2018,울산,0.8
2018,세종,1.2
2018,경기,0.7
2018,강원,1.2
2018,충북,1.3
2018,충남,1.3
2018,전북,1.1
2018,전남,1.6
2018,경북,1.2
2018,경남,1.1
2018,제주,1.1
