Year,성별,Value
2001,,30.2
2001,남자,61.3
2001,여자,5.3
2005,,28.8
2005,남자,52.3
2005,여자,5.7
2007,,25.0
2007,남자,45.1
2007,여자,5.3
2008,,27.3
2008,남자,47.7
2008,여자,7.3
2009,,26.6
2009,남자,46.7
2009,여자,6.9
2010,,26.9
2010,남자,48.1
2010,여자,6.1
2011,,26.3
2011,남자,46.8
2011,여자,6.5
2012,,25.0
2012,남자,43.3
2012,여자,7.4
2013,,23.2
2013,남자,41.4
2013,여자,5.7
2014,,23.3
2014,남자,42.3
2014,여자,5.1
2015,,21.6
2015,남자,38.3
2015,여자,5.3
2016,,22.6
2016,남자,39.4
2016,여자,6.1
2017,,21.1
2017,남자,37.0
2017,여자,5.2
2018,,21.1
2018,남자,35.8
2018,여자,6.5
