Year,백신종류,Value
2000,DTP3,97.0
2001,DTP3,97.0
2002,DTP3,97.0
2003,DTP3,97.0
2004,DTP3,88.0
2005,DTP3,96.0
2006,DTP3,98.0
2007,DTP3,91.0
2008,DTP3,94.0
2009,DTP3,94.0
2010,DTP3,94.0
2011,DTP3,99.0
2012,DTP3,99.0
2013,DTP3,99.0
2014,DTP3,99.0
2015,DTP3,98.0
2016,DTP3,98.0
2017,DTP3,97.0
2018,DTP3,98.0
2000,HPV,
2001,HPV,
2002,HPV,
2003,HPV,
2004,HPV,
2005,HPV,
2006,HPV,
2007,HPV,
2008,HPV,
2009,HPV,
2010,HPV,
2011,HPV,
2012,HPV,
2013,HPV,
2014,HPV,
2015,HPV,
2016,HPV,1.9
2017,HPV,49.0
2018,HPV,62.5
2000,MCV2,39.0
2001,MCV2,67.0
2002,MCV2,95.0
2003,MCV2,95.0
2004,MCV2,99.0
2005,MCV2,99.0
2006,MCV2,99.0
2007,MCV2,99.0
2008,MCV2,99.0
2009,MCV2,99.0
2010,MCV2,98.0
2011,MCV2,98.0
2012,MCV2,97.0
2013,MCV2,95.0
2014,MCV2,96.0
2015,MCV2,97.0
2016,MCV2,97.0
2017,MCV2,97.0
2018,MCV2,97.0
2000,PCV3,
2001,PCV3,
2002,PCV3,
2003,PCV3,
2004,PCV3,
2005,PCV3,
2006,PCV3,
2007,PCV3,
2008,PCV3,
2009,PCV3,
2010,PCV3,
2011,PCV3,
2012,PCV3,
2013,PCV3,
2014,PCV3,
2015,PCV3,97.0
2016,PCV3,98.0
2017,PCV3,97.0
2018,PCV3,97.0
