Year,직업별,Value
2000,,578
2000,의사,154
2000,한의사,38
2000,치과의사,26
2000,조산사,19
2000,간호사,341
2001,,605
2001,의사,159
2001,한의사,40
2001,치과의사,27
2001,조산사,19
2001,간호사,361
2002,,636
2002,의사,165
2002,한의사,41
2002,치과의사,29
2002,조산사,19
2002,간호사,382
2003,,664
2003,의사,170
2003,한의사,43
2003,치과의사,30
2003,조산사,19
2003,간호사,402
2004,,681
2004,의사,171
2004,한의사,43
2004,치과의사,30
2004,조산사,18
2004,간호사,421
2005,,711
2005,의사,177
2005,한의사,45
2005,치과의사,32
2005,조산사,18
2005,간호사,444
2006,,742
2006,의사,184
2006,한의사,46
2006,치과의사,33
2006,조산사,18
2006,간호사,464
2007,,778
2007,의사,190
2007,한의사,35
2007,치과의사,48
2007,조산사,18
2007,간호사,484
2008,,806
2008,의사,194
2008,한의사,36
2008,치과의사,49
2008,조산사,18
2008,간호사,503
2009,,838
2009,의사,202
2009,한의사,38
2009,치과의사,51
2009,조산사,18
2009,간호사,530
2010,,860
2010,의사,205
2010,한의사,39
2010,치과의사,51
2010,조산사,17
2010,간호사,547
2011,,887
2011,의사,210
2011,한의사,40
2011,치과의사,52
2011,조산사,17
2011,간호사,568
2012,,917
2012,의사,214
2012,한의사,41
2012,치과의사,54
2012,조산사,17
2012,간호사,591
2013,,945
2013,의사,218
2013,한의사,42
2013,치과의사,55
2013,조산사,17
2013,간호사,613
2014,,980
2014,의사,223
2014,한의사,44
2014,치과의사,56
2014,조산사,17
2014,간호사,641
2015,,1010
2015,의사,227
2015,한의사,45
2015,치과의사,57
2015,조산사,16
2015,간호사,664
2016,,1046
2016,의사,232
2016,한의사,47
2016,치과의사,58
2016,조산사,16
2016,간호사,694
2017,,1081
2017,의사,235
2017,한의사,47
2017,치과의사,59
2017,조산사,16
2017,간호사,724
2018,,1124
2018,의사,239
2018,한의사,48
2018,치과의사,60
2018,조산사,16
2018,간호사,761
