Year,과목,성별,학력수준,Value
2003,수학,,중학교,90.48053
2003,수학,여,중학교,89.00986999999999
2003,수학,남,중학교,91.48281999999999
2006,수학,,중학교,91.14494
2006,수학,여,중학교,91.37633000000001
2006,수학,남,중학교,90.91996
2007,수학,,중학교,97.60511
2007,수학,여,중학교,97.95
2007,수학,남,중학교,97.28
2009,수학,,중학교,91.87464
2009,수학,여,중학교,92.98635
2009,수학,남,중학교,90.87881
2011,수학,,초등 2학년 혹은 3학년,99.63955
2011,수학,,중학교,98.54145
2011,수학,여,초등 2학년 혹은 3학년,99.74
2011,수학,여,중학교,98.86
2011,수학,남,초등 2학년 혹은 3학년,99.55
2011,수학,남,중학교,98.2
2012,수학,,중학교,90.86689
2012,수학,여,중학교,90.91781
2012,수학,남,중학교,90.8225
2015,수학,,초등 2학년 혹은 3학년,99.65868
2015,수학,,중학교,84.53711
2015,수학,여,초등 2학년 혹은 3학년,99.58
2015,수학,여,중학교,87.04182
2015,수학,남,초등 2학년 혹은 3학년,99.73
2015,수학,남,중학교,82.24592
2003,읽기,,중학교,93.22865
2003,읽기,여,중학교,95.56215999999999
2003,읽기,남,중학교,91.63831
2006,읽기,,중학교,94.2216
2006,읽기,여,중학교,96.71495
2006,읽기,남,중학교,91.79741999999999
2009,읽기,,중학교,94.20598000000001
2009,읽기,여,중학교,97.57713000000001
2009,읽기,남,중학교,91.18625
2012,읽기,,중학교,92.35237
2012,읽기,여,중학교,95.49908
2012,읽기,남,중학교,89.60871999999999
2015,읽기,,중학교,86.34297
2015,읽기,여,중학교,92.3635
2015,읽기,남,중학교,80.83565
