Year,Units,Skill,Value
2005,초등입학1년전 학습참여비율,,0.99982
2013,초등입학1년전 학습참여비율,,1.00755
2014,초등입학1년전 학습참여비율,,0.99725
2015,초등입학1년전 학습참여비율,,0.9959600000000001
2016,초등입학1년전 학습참여비율,,0.9924299999999999
2017,초등입학1년전 학습참여비율,,1.0033
2003,Native parity index,수리력,0.220344007165347
2006,Native parity index,수리력,1.0918458517826701
2006,Native parity index,문해력,0.211557397705957
2009,Native parity index,문해력,0.6350211070301911
2012,Native parity index,문해력,0.7026974360987621
2012,Native parity index,수리력,0.7142817065985491
2015,Native parity index,수리력,1.02581097056164
2003,언어테스트불평등지수,문해력,0.72250355719465
2003,언어테스트불평등지수,수리력,0.626201300996527
2006,언어테스트불평등지수,문해력,0.7982350098949341
2006,언어테스트불평등지수,수리력,0.9267203283915171
2009,언어테스트불평등지수,문해력,0.7842761200364591
2009,언어테스트불평등지수,수리력,0.6922342780306711
2012,언어테스트불평등지수,문해력,0.9228562344047029
2012,언어테스트불평등지수,수리력,0.723227178060552
2018,언어테스트불평등지수,문해력,0.73619520053112
2018,언어테스트불평등지수,수리력,0.79248498404889
2000,성불평등지수,문해력,1.03874
2000,성불평등지수,수리력,0.9662799999999999
2003,성불평등지수,문해력,1.04282
2003,성불평등지수,수리력,0.9729700000000001
2006,성불평등지수,문해력,1.0535700000000001
2006,성불평등지수,수리력,1.00502
2009,성불평등지수,문해력,1.07009
2009,성불평등지수,수리력,1.02319
2011,성불평등지수,수리력,1.00149
2012,성불평등지수,문해력,1.0657299999999998
2012,성불평등지수,수리력,1.00105
2015,성불평등지수,문해력,1.1426100000000001
2015,성불평등지수,수리력,1.05831
2015,성불평등지수,수리력,1.00527
2018,성불평등지수,문해력,1.09286
2018,성불평등지수,수리력,1.0141200000000001
2000,사회경제적불평등지수,문해력,0.8985689440427321
2000,사회경제적불평등지수,수리력,0.8701028896485479
2003,사회경제적불평등지수,문해력,0.8862290381450071
2003,사회경제적불평등지수,수리력,0.83164721382251
2006,사회경제적불평등지수,문해력,0.93400227409223
2006,사회경제적불평등지수,수리력,0.8790805461808041
2009,사회경제적불평등지수,문해력,0.898191102874981
2009,사회경제적불평등지수,수리력,0.869812111064004
2011,사회경제적불평등지수,수리력,0.941164071166394
2012,사회경제적불평등지수,문해력,0.9063989936013871
2012,사회경제적불평등지수,수리력,0.8898887099139151
2015,사회경제적불평등지수,문해력,0.8322617301004399
2015,사회경제적불평등지수,수리력,0.785251070001341
2015,사회경제적불평등지수,수리력,0.934854869058554
2018,사회경제적불평등지수,문해력,0.816184357811575
2018,사회경제적불평등지수,수리력,0.79945047280668
2000,도농불평등지수,수리력,0.9004364361752379
2000,도농불평등지수,문해력,0.9446970235889
2003,도농불평등지수,수리력,0.8438274099037578
2003,도농불평등지수,문해력,0.92600976771944
2006,도농불평등지수,수리력,0.8431688487791899
2006,도농불평등지수,문해력,0.8580783044004751
2009,도농불평등지수,수리력,0.823088073588172
2009,도농불평등지수,문해력,0.839992965341114
2011,도농불평등지수,수리력,0.948479896708481
2012,도농불평등지수,문해력,0.931439386510226
2012,도농불평등지수,수리력,0.9112656524947171
