Year,연령별,Value
2005,,61156
2005,15~24세,0
2005,25~29세,154
2005,30~34세,241
2005,35~39세,372
2005,40~44세,3160
2005,45~49세,3882
2005,50~54세,3080
2005,55~59세,3521
2005,60~64세,3827
2005,65~69세,6813
2005,70~74세,11446
2005,75세 이상,24660
2010,,52442
2010,15~19세,0
2010,20~24세,0
2010,25~29세,0
2010,30~34세,152
2010,35~39세,238
2010,40~44세,360
2010,45~49세,2134
2010,50~54세,2790
2010,55~59세,2427
2010,60~64세,2380
2010,65~69세,2846
2010,70~74세,5313
2010,75세 이상,33802
2015,,35119
2015,15~19세,43
2015,20~24세,70
2015,25~29세,146
2015,30~34세,150
2015,35~39세,308
2015,40~44세,690
2015,45~49세,1785
2015,50~54세,2669
2015,55~59세,3571
2015,60~64세,3503
2015,65~69세,3782
2015,70~74세,4959
2015,75세 이상,13443
