Year,구분,성별,연령,지역,Value
2004,,여,10+,,14.584579999999999
2004,,남,10+,,2.77792
2009,,여,10+,,14.37375
2009,,남,10+,,3.12375
2014,,여,10+,,13.958329999999998
2014,,여,10+,농촌,14.516670000000001
2014,,여,10+,도시,13.816670000000002
2014,,남,10+,,3.33333
2014,,남,10+,농촌,3.95833
2014,,남,10+,도시,3.26667
2014,,여,15+,,14.579170000000001
2014,,여,15+,농촌,15.1375
2014,,여,15+,도시,14.583329999999998
2014,,남,15+,,3.6083300000000005
2014,,남,15+,농촌,4.09583
2014,,남,15+,도시,3.5375
2014,,여,15-24,,3.6125
2014,,여,15-24,농촌,4.375
2014,,여,15-24,도시,3.5458300000000005
2014,,남,15-24,,1.5291700000000001
2014,,남,15-24,농촌,1.3875
2014,,남,15-24,도시,1.45833
2014,,여,25-44,,18.95833
2014,,여,25-44,농촌,20.76667
2014,,여,25-44,도시,18.75
2014,,남,25-44,,3.8875
2014,,남,25-44,농촌,3.8208300000000004
2014,,남,25-44,도시,3.8875
2014,,여,45-54,,14.791670000000002
2014,,여,45-54,농촌,14.583329999999998
2014,,여,45-54,도시,14.7875
2014,,남,45-54,,3.0583299999999998
2014,,남,45-54,농촌,3.8875
2014,,남,45-54,도시,2.92083
2014,,여,55-64,,16.7375
2014,,여,55-64,농촌,16.25
2014,,여,55-64,도시,16.875
2014,,남,55-64,,4.025
2014,,남,55-64,농촌,4.8583300000000005
2014,,남,55-64,도시,3.81667
2014,,여,65+,,14.375
2014,,여,65+,농촌,14.09583
2014,,여,65+,도시,14.5125
2014,,남,65+,,5.4875
2014,,남,65+,농촌,5.83333
2014,,남,65+,도시,5.35
2004,돌봄노동,여,10+,,3.26375
2004,돌봄노동,남,10+,,0.9029200000000001
2009,돌봄노동,여,10+,,3.1945799999999998
2009,돌봄노동,남,10+,,0.9029200000000001
2014,돌봄노동,여,10+,,2.84583
2014,돌봄노동,여,10+,농촌,2.225
2014,돌봄노동,여,10+,도시,2.98333
2014,돌봄노동,여,15+,,2.98333
2014,돌봄노동,여,15+,농촌,2.29167
2014,돌봄노동,여,15+,도시,3.125
2014,돌봄노동,여,15-24,,0.41667
2014,돌봄노동,여,15-24,농촌,0.8333299999999999
2014,돌봄노동,여,15-24,도시,0.35
2014,돌봄노동,여,25-44,,6.94583
2014,돌봄노동,여,25-44,농촌,7.08333
2014,돌봄노동,여,25-44,도시,6.875
2014,돌봄노동,여,45-54,,1.25
2014,돌봄노동,여,45-54,농촌,0.97083
2014,돌봄노동,여,45-54,도시,1.31667
2014,돌봄노동,여,55-64,,1.7375
2014,돌봄노동,여,55-64,농촌,1.04167
2014,돌봄노동,여,55-64,도시,1.875
2014,돌봄노동,여,65+,,0.7625
2014,돌봄노동,여,65+,농촌,0.41667
2014,돌봄노동,여,65+,도시,0.9
2014,돌봄노동,남,10+,,0.8333299999999999
2014,돌봄노동,남,10+,농촌,0.8333299999999999
2014,돌봄노동,남,10+,도시,0.8333299999999999
2014,돌봄노동,남,15+,,0.97083
2014,돌봄노동,남,15+,농촌,0.8333299999999999
2014,돌봄노동,남,15+,도시,0.97083
2014,돌봄노동,남,15-24,,0.07082999999999999
2014,돌봄노동,남,15-24,농촌,0.07082999999999999
2014,돌봄노동,남,15-24,도시,0.07082999999999999
2014,돌봄노동,남,25-44,,1.5958299999999999
2014,돌봄노동,남,25-44,농촌,1.66667
2014,돌봄노동,남,25-44,도시,1.5958299999999999
2014,돌봄노동,남,45-54,,0.6958300000000001
2014,돌봄노동,남,45-54,농촌,0.8333299999999999
2014,돌봄노동,남,45-54,도시,0.6958300000000001
2014,돌봄노동,남,55-64,,0.625
2014,돌봄노동,남,55-64,농촌,0.5541699999999999
2014,돌봄노동,남,55-64,도시,0.625
2014,돌봄노동,남,65+,,0.6958300000000001
2014,돌봄노동,남,65+,농촌,0.625
2014,돌봄노동,남,65+,도시,0.6958300000000001
2004,가사노동,여,10+,,11.32083
2004,가사노동,남,10+,,1.875
2009,가사노동,여,10+,,11.17917
2009,가사노동,남,10+,,2.22083
2014,가사노동,여,10+,,11.1125
2014,가사노동,여,10+,농촌,12.29167
2014,가사노동,여,10+,도시,10.83333
2014,가사노동,여,15+,,11.59583
2014,가사노동,여,15+,농촌,12.84583
2014,가사노동,여,15+,도시,11.45833
2014,가사노동,여,15-24,,3.19583
2014,가사노동,여,15-24,농촌,3.54167
2014,가사노동,여,15-24,도시,3.19583
2014,가사노동,여,25-44,,12.0125
2014,가사노동,여,25-44,농촌,13.683329999999998
2014,가사노동,여,25-44,도시,11.875
2014,가사노동,여,45-54,,13.541670000000002
2014,가사노동,여,45-54,농촌,13.6125
2014,가사노동,여,45-54,도시,13.47083
2014,가사노동,여,55-64,,15.0
2014,가사노동,여,55-64,농촌,15.208329999999998
2014,가사노동,여,55-64,도시,15.0
2014,가사노동,여,65+,,13.6125
2014,가사노동,여,65+,농촌,13.679170000000001
2014,가사노동,여,65+,도시,13.6125
2014,가사노동,남,10+,,2.5
2014,가사노동,남,10+,농촌,3.125
2014,가사노동,남,10+,도시,2.4333299999999998
2014,가사노동,남,15+,,2.6375
2014,가사노동,남,15+,농촌,3.2625
2014,가사노동,남,15+,도시,2.5666700000000002
