Year,유형,성별,연령,Value
태블릿,웨어러블디바이스),,,91.4
태블릿,웨어러블디바이스),남,,83.8
태블릿,웨어러블디바이스),여,,89.0
태블릿,웨어러블디바이스),,6-10,96.9
태블릿,웨어러블디바이스),,20-29,99.9
태블릿,웨어러블디바이스),,30-39,99.9
태블릿,웨어러블디바이스),,40-49,99.8
태블릿,웨어러블디바이스),,50-59,98.5
태블릿,웨어러블디바이스),,60-69,87.7
태블릿,웨어러블디바이스),,70+,37.5
,,91,,
남,,93.4,,
여,,88.6,,
,6-10,95.5,,
,20-29,99.9,,
,30-39,99.9,,
,40-49,99.7,,
,50-59,98.4,,
,60-69,87.5,,
,70+,36.3,,
,,8.2,,
남,,6,,
여,,10.4,,
,6-10,1.8,,
,20-29,0.3,,
,30-39,0.1,,
,40-49,0.4,,
,50-59,1.8,,
,60-69,12.9,,
,70+,58.4,,
태블릿,웨어러블디바이스),,,92.4
태블릿,웨어러블디바이스),남,,94.5
태블릿,웨어러블디바이스),여,,90.3
태블릿,웨어러블디바이스),,6-10,97.1
태블릿,웨어러블디바이스),,20-29,100.0
태블릿,웨어러블디바이스),,30-39,99.9
태블릿,웨어러블디바이스),,40-49,99.9
태블릿,웨어러블디바이스),,50-59,99.8
태블릿,웨어러블디바이스),,60-69,92.0
태블릿,웨어러블디바이스),,70+,41.0
,,92.2,,
남,,94.4,,
여,,90,,
,6-10,96.6,,
,20-29,99.9,,
,30-39,99.9,,
,40-49,99.9,,
,50-59,99.8,,
,60-69,92,,
,70+,40.2,,
,,8.1,,
남,,6.2,,
여,,10.1,,
,6-10,2.1,,
,20-29,0.4,,
,30-39,0.6,,
,40-49,1.4,,
,50-59,1.6,,
,60-69,10.6,,
,70+,56.1,,
