Year,Category,Units,Value
2005,Permanent,square kilometres,1805.39472
2006,Permanent,square kilometres,1802.39731
2007,Permanent,square kilometres,1820.19114
2008,Permanent,square kilometres,1824.2109899999998
2009,Permanent,square kilometres,1808.6770000000001
2010,Permanent,square kilometres,1791.8049399999998
2011,Permanent,square kilometres,1800.13395
2012,Permanent,square kilometres,1805.8832300000001
2013,Permanent,square kilometres,1805.9197199999999
2014,Permanent,square kilometres,1806.5515699999999
2015,Permanent,square kilometres,1820.0581899999997
2016,Permanent,square kilometres,1814.3973399999998
2005,Permanent and maybe permanent,square kilometres,1809.69318
2006,Permanent and maybe permanent,square kilometres,1807.22317
2007,Permanent and maybe permanent,square kilometres,1825.0183
2008,Permanent and maybe permanent,square kilometres,1829.20087
2009,Permanent and maybe permanent,square kilometres,1811.9720300000001
2010,Permanent and maybe permanent,square kilometres,1795.5028100000002
2011,Permanent and maybe permanent,square kilometres,1805.0830399999998
2012,Permanent and maybe permanent,square kilometres,1811.8589
2013,Permanent and maybe permanent,square kilometres,1813.81041
2014,Permanent and maybe permanent,square kilometres,1814.2367399999998
2015,Permanent and maybe permanent,square kilometres,1827.44912
2016,Permanent and maybe permanent,square kilometres,1820.02355
2005,Permanent and maybe permanent,% of total land area,1.87611
2006,Permanent and maybe permanent,% of total land area,1.86812
2007,Permanent and maybe permanent,% of total land area,1.8855400000000002
2008,Permanent and maybe permanent,% of total land area,1.8896700000000002
2009,Permanent and maybe permanent,% of total land area,1.87149
2010,Permanent and maybe permanent,% of total land area,1.8539
2011,Permanent and maybe permanent,% of total land area,1.86322
2012,Permanent and maybe permanent,% of total land area,1.8694400000000002
2013,Permanent and maybe permanent,% of total land area,1.86933
2014,Permanent and maybe permanent,% of total land area,1.86842
2015,Permanent and maybe permanent,% of total land area,1.8795099999999998
2016,Permanent and maybe permanent,% of total land area,1.8718700000000001
2005,Permanent,% of total land area,1.87165
2006,Permanent,% of total land area,1.8631400000000002
2007,Permanent,% of total land area,1.8805599999999998
2008,Permanent,% of total land area,1.88452
2009,Permanent,% of total land area,1.86808
2010,Permanent,% of total land area,1.85008
2011,Permanent,% of total land area,1.85811
2012,Permanent,% of total land area,1.86327
2013,Permanent,% of total land area,1.8612
2014,Permanent,% of total land area,1.8605099999999999
2015,Permanent,% of total land area,1.87191
2016,Permanent,% of total land area,1.8660900000000002
