Year,Location,Value
2000,,100.0
2000,RURAL,100.0
2000,URBAN,99.99665999999999
2001,,100.0
2001,RURAL,100.0
2001,URBAN,100.0
2002,,100.0
2002,RURAL,100.0
2002,URBAN,100.0
2003,,100.0
2003,RURAL,100.0
2003,URBAN,100.0
2004,,100.0
2004,RURAL,100.0
2004,URBAN,100.0
2005,,100.0
2005,RURAL,100.0
2005,URBAN,100.0
2006,,100.0
2006,RURAL,100.0
2006,URBAN,100.0
2007,,100.0
2007,RURAL,100.0
2007,URBAN,100.0
2008,,100.0
2008,RURAL,100.0
2008,URBAN,100.0
2009,,100.0
2009,RURAL,100.0
2009,URBAN,100.0
2010,,100.0
2010,RURAL,100.0
2010,URBAN,100.0
2011,,100.0
2011,RURAL,100.0
2011,URBAN,100.0
2012,,100.0
2012,RURAL,100.0
2012,URBAN,100.0
2013,,100.0
2013,RURAL,100.0
2013,URBAN,100.0
2014,,100.0
2014,RURAL,100.0
2014,URBAN,100.0
2015,,100.0
2015,RURAL,100.0
2015,URBAN,100.0
2016,,100.0
2016,RURAL,100.0
2016,URBAN,100.0
2017,,100.0
2017,RURAL,100.0
2017,URBAN,100.0
