Year,Industry sector,Unit measure,Unit multiplier,Observation status,Value
2000,,Terajoules per £m GDP,Units,Undefined,8.07
2001,,Terajoules per £m GDP,Units,Undefined,7.84
2002,,Terajoules per £m GDP,Units,Undefined,7.59
2003,,Terajoules per £m GDP,Units,Undefined,7.53
2004,,Terajoules per £m GDP,Units,Undefined,7.37
2005,,Terajoules per £m GDP,Units,Undefined,7.16
2006,,Terajoules per £m GDP,Units,Undefined,6.92
2007,,Terajoules per £m GDP,Units,Undefined,6.82
2008,,Terajoules per £m GDP,Units,Undefined,6.78
2009,,Terajoules per £m GDP,Units,Undefined,6.8
2010,,Terajoules per £m GDP,Units,Undefined,6.96
2011,,Terajoules per £m GDP,Units,Undefined,6.99
2012,,Terajoules per £m GDP,Units,Undefined,6.92
2013,,Terajoules per £m GDP,Units,Undefined,6.73
2014,,Terajoules per £m GDP,Units,Undefined,6.63
2015,,Terajoules per £m GDP,Units,Undefined,6.55
2016,,Terajoules per £m GDP,Units,Undefined,6.59
