Year,금융서비스,Value
2004,현금자동인출기(ATM),208.16443
2005,현금자동인출기(ATM),212.14238999999998
2006,현금자동인출기(ATM),218.24452000000002
2007,현금자동인출기(ATM),234.23756
2008,현금자동인출기(ATM),241.82812
2009,현금자동인출기(ATM),247.12209
2010,현금자동인출기(ATM),265.37542
2011,현금자동인출기(ATM),281.26772
2012,현금자동인출기(ATM),288.47585
2013,현금자동인출기(ATM),288.63191
2014,현금자동인출기(ATM),280.96637000000004
2015,현금자동인출기(ATM),276.27459
2016,현금자동인출기(ATM),271.87542
2004,상업은행 지점,16.8
2005,상업은행 지점,17.33
2006,상업은행 지점,17.82
2007,상업은행 지점,18.31
2008,상업은행 지점,18.7
2009,상업은행 지점,18.19
2010,상업은행 지점,18.18
2011,상업은행 지점,18.22
2012,상업은행 지점,18.31
2013,상업은행 지점,18.02
2014,상업은행 지점,17.21
2015,상업은행 지점,16.78
2016,상업은행 지점,16.26
2017,상업은행 지점,15.45
