Year,Unit measure,Unit multiplier,Observation status,Value
2000,Percentage change (%),Units,Undefined,4.5
2001,Percentage change (%),Units,Undefined,2.5
2002,Percentage change (%),Units,Undefined,4.6
2003,Percentage change (%),Units,Undefined,3.1
2004,Percentage change (%),Units,Undefined,2.9
2005,Percentage change (%),Units,Undefined,3.0
2006,Percentage change (%),Units,Undefined,4.1
2007,Percentage change (%),Units,Undefined,4.2
2008,Percentage change (%),Units,Undefined,2.7
2009,Percentage change (%),Units,Undefined,1.3
2010,Percentage change (%),Units,Undefined,5.3
2011,Percentage change (%),Units,Undefined,2.1
2012,Percentage change (%),Units,Undefined,0.7
2013,Percentage change (%),Units,Undefined,1.5
2014,Percentage change (%),Units,Undefined,1.2
2015,Percentage change (%),Units,Undefined,1.8
2016,Percentage change (%),Units,Undefined,2.0
2017,Percentage change (%),Units,Undefined,2.0
2018,Percentage change (%),Units,Undefined,2.3
