Year,성별,연령,Value
2000,,15+,4.4
2000,,15-24,10.8
2000,,25+,3.7
2000,여,15+,3.6
2000,여,15-24,9.0
2000,여,25+,2.7
2000,남,15+,5.0
2000,남,15-24,13.6
2000,남,25+,4.3
2001,,15+,4.0
2001,,15-24,10.2
2001,,25+,3.3
2001,여,15+,3.3
2001,여,15-24,8.6
2001,여,25+,2.4
2001,남,15+,4.5
2001,남,15-24,12.7
2001,남,25+,3.9
2002,,15+,3.3
2002,,15-24,8.5
2002,,25+,2.7
2002,여,15+,2.8
2002,여,15-24,7.5
2002,여,25+,1.9
2002,남,15+,3.7
2002,남,15-24,10.3
2002,남,25+,3.2
2003,,15+,3.6
2003,,15-24,10.1
2003,,25+,2.9
2003,여,15+,3.3
2003,여,15-24,9.0
2003,여,25+,2.3
2003,남,15+,3.8
2003,남,15-24,11.9
2003,남,25+,3.2
2004,,15+,3.7
2004,,15-24,10.5
2004,,25+,3.0
2004,여,15+,3.4
2004,여,15-24,9.4
2004,여,25+,2.4
2004,남,15+,3.9
2004,남,15-24,12.2
2004,남,25+,3.3
2005,,15+,3.7
2005,,15-24,10.2
2005,,25+,3.1
2005,여,15+,3.4
2005,여,15-24,9.0
2005,여,25+,2.6
2005,남,15+,4.0
2005,남,15-24,12.2
2005,남,25+,3.5
2006,,15+,3.5
2006,,15-24,10.0
2006,,25+,2.9
2006,여,15+,2.9
2006,여,15-24,9.0
2006,여,25+,2.2
2006,남,15+,3.8
2006,남,15-24,11.7
2006,남,25+,3.4
2007,,15+,3.2
2007,,15-24,8.8
2007,,25+,2.8
2007,여,15+,2.6
2007,여,15-24,7.2
2007,여,25+,2.1
2007,남,15+,3.7
2007,남,15-24,11.4
2007,남,25+,3.3
2008,,15+,3.2
2008,,15-24,9.3
2008,,25+,2.7
2008,여,15+,2.6
2008,여,15-24,7.9
2008,여,25+,2.1
2008,남,15+,3.6
2008,남,15-24,11.5
2008,남,25+,3.2
2009,,15+,3.6
2009,,15-24,9.9
2009,,25+,3.2
2009,여,15+,3.0
2009,여,15-24,8.6
2009,여,25+,2.5
2009,남,15+,4.1
2009,남,15-24,11.9
2009,남,25+,3.8
2010,,15+,3.7
2010,,15-24,9.8
2010,,25+,3.3
2010,여,15+,3.3
2010,여,15-24,9.0
2010,여,25+,2.8
2010,남,15+,4.0
2010,남,15-24,11.2
2010,남,25+,3.7
2011,,15+,3.4
2011,,15-24,9.6
2011,,25+,3.0
2011,여,15+,3.1
2011,여,15-24,8.1
2011,여,25+,2.6
2011,남,15+,3.6
2011,남,15-24,12.1
2011,남,25+,3.3
2012,,15+,3.2
2012,,15-24,9.0
2012,,25+,2.8
2012,여,15+,3.0
2012,여,15-24,8.5
2012,여,25+,2.4
2012,남,15+,3.4
2012,남,15-24,9.7
2012,남,25+,3.1
2013,,15+,3.1
2013,,15-24,9.3
2013,,25+,2.7
2013,여,15+,2.9
2013,여,15-24,9.0
2013,여,25+,2.3
2013,남,15+,3.3
2013,남,15-24,9.8
2013,남,25+,3.0
2014,,15+,3.5
2014,,15-24,10.0
2014,,25+,3.1
2014,여,15+,3.5
2014,여,15-24,9.2
2014,여,25+,2.9
2014,남,15+,3.6
2014,남,15-24,11.2
2014,남,25+,3.2
2015,,15+,3.6
2015,,15-24,10.5
2015,,25+,3.1
2015,여,15+,3.6
2015,여,15-24,10.0
2015,여,25+,2.9
2015,남,15+,3.7
2015,남,15-24,11.3
2015,남,25+,3.3
2016,,15+,3.7
2016,,15-24,10.7
2016,,25+,3.2
2016,여,15+,3.6
2016,여,15-24,10.5
2016,여,25+,2.9
2016,남,15+,3.8
2016,남,15-24,11.0
2016,남,25+,3.4
2017,,15+,3.7
2017,,15-24,10.4
2017,,25+,3.3
2017,여,15+,3.6
2017,여,15-24,9.7
2017,여,25+,3.0
2017,남,15+,3.8
2017,남,15-24,11.3
2017,남,25+,3.5
