Year,Category,Value
2006,약정액,209.88136
2007,약정액,535.25509
2008,약정액,725.75986
2009,약정액,1208.58632
2010,약정액,805.56287
2011,약정액,809.16125
2012,약정액,839.32571
2013,약정액,732.18616
2014,약정액,1061.28238
2015,약정액,930.81599
2016,약정액,1061.00559
2017,약정액,1183.6702699999998
2006,지불액,159.73768
2007,지불액,174.67872
2008,지불액,267.59824
2009,지불액,304.16676
2010,지불액,378.54573
2011,지불액,437.22942
2012,지불액,461.79159000000004
2013,지불액,564.00747
2014,지불액,529.79148
2015,지불액,613.12151
2016,지불액,590.8618799999999
2017,지불액,556.53925
