Year,구분,교통수단,단위,Value
2000,국내_승객량,,인,13492486627
2000,국내_승객량,철도,인,814471544
2000,국내_승객량,지하철,인,2235221224
2000,국내_승객량,공로,인,10410577461
2000,국내_승객량,해운,인,9701511
2000,국내_승객량,항공,인,22514887
2000,국내_화물량,,인-kg,132078001880
2000,국내_화물량,철도,인-kg,28527513429
2000,국내_화물량,지하철,인-kg,20267583264
2000,국내_화물량,공로,인-kg,74572194969
2000,국내_화물량,해운,인-kg,671683403
2000,국내_화물량,항공,인-kg,8039026815
2000,국제_승객량,,인,20451445
2000,국제_승객량,해운,인,999163
2000,국제_승객량,항공,인,19452282
2000,국제_화물량,,인-kg,76314343724
2000,국제_화물량,해운,인-kg,397867354
2000,국제_화물량,항공,인-kg,75916476370
2001,국내_승객량,,인,13345346384
2001,국내_승객량,철도,인,850970533
2001,국내_승객량,지하철,인,2527099056
2001,국내_승객량,공로,인,9936125538
2001,국내_승객량,해운,인,9339923
2001,국내_승객량,항공,인,21811334
2001,국내_화물량,,인-kg,151835762962
2001,국내_화물량,철도,인-kg,28882064923
2001,국내_화물량,지하철,인-kg,30269033400
2001,국내_화물량,공로,인-kg,84255868523
2001,국내_화물량,해운,인-kg,555431322
2001,국내_화물량,항공,인-kg,7873364794
2001,국제_승객량,,인,21425395
2001,국제_승객량,해운,인,1074891
2001,국제_승객량,항공,인,20350504
2001,국제_화물량,,인-kg,77071766381
2001,국제_화물량,해운,인-kg,400984917
2001,국제_화물량,항공,인-kg,76670781464
2002,국내_승객량,,인,12678405036
2002,국내_승객량,철도,인,851715501
2002,국내_승객량,지하철,인,2012386388
2002,국내_승객량,공로,인,9783594977
2002,국내_승객량,해운,인,9459844
2002,국내_승객량,항공,인,21248326
2002,국내_화물량,,인-kg,138228166792
2002,국내_화물량,철도,인-kg,27492389526
2002,국내_화물량,지하철,인-kg,24436369949
2002,국내_화물량,공로,인-kg,77925461601
2002,국내_화물량,해운,인-kg,565089590
2002,국내_화물량,항공,인-kg,7808856126
2002,국제_승객량,,인,23969685
2002,국제_승객량,해운,인,1252867
2002,국제_승객량,항공,인,22716818
2002,국제_화물량,,인-kg,84825281640
2002,국제_화물량,해운,인-kg,459170128
2002,국제_화물량,항공,인-kg,84366111512
2003,국내_승객량,,인,12313291592
2003,국내_승객량,철도,인,894620721
2003,국내_승객량,지하철,인,1982191829
2003,국내_승객량,공로,인,9404763930
2003,국내_승객량,해운,인,10335588
2003,국내_승객량,항공,인,21379524
2003,국내_화물량,,인-kg,136740678843
2003,국내_화물량,철도,인-kg,27227661043
2003,국내_화물량,지하철,인-kg,23755251174
2003,국내_화물량,공로,인-kg,77199591275
2003,국내_화물량,해운,인-kg,620466832
2003,국내_화물량,항공,인-kg,7937708519
2003,국제_승객량,,인,22838817
2003,국제_승객량,해운,인,1379529
2003,국제_승객량,항공,인,21459288
2003,국제_화물량,,인-kg,74828668649
2003,국제_화물량,해운,인-kg,535357393
2003,국제_화물량,항공,인-kg,74293311256
2004,국내_승객량,,인,12153734810
2004,국내_승객량,철도,인,921222970
2004,국내_승객량,지하철,인,2033411224
2004,국내_승객량,공로,인,9169559740
2004,국내_승객량,해운,인,10648224
2004,국내_승객량,항공,인,18892652
2004,국내_화물량,,인-kg,143774112233
2004,국내_화물량,철도,인-kg,28458594455
2004,국내_화물량,지하철,인-kg,24290611434
2004,국내_화물량,공로,인-kg,83216655171
2004,국내_화물량,해운,인-kg,657105962
2004,국내_화물량,항공,인-kg,7151145211
2004,국제_승객량,,인,28753136
2004,국제_승객량,해운,인,1822200
2004,국제_승객량,항공,인,26930936
2004,국제_화물량,,인-kg,90145793001
2004,국제_화물량,해운,인-kg,713680427
2004,국제_화물량,항공,인-kg,89432112574
2005,국내_승객량,,인,11801451886
