Year,Industry sector,Industry higher sub-category,Industry middle sub-category,Industry lower sub-category,Observation status,Unit multiplier,Unit measure,Value
2000,,,,,Undefined,Units,Percentage (%),58.87
2001,,,,,Undefined,Units,Percentage (%),58.91
2002,,,,,Undefined,Units,Percentage (%),60.14
2003,,,,,Undefined,Units,Percentage (%),60.49
2004,,,,,Undefined,Units,Percentage (%),60.82
2005,,,,,Undefined,Units,Percentage (%),60.16
2006,,,,,Undefined,Units,Percentage (%),62.5
2007,,,,,Undefined,Units,Percentage (%),65.46
2008,,,,,Undefined,Units,Percentage (%),63.29
2009,,,,,Undefined,Units,Percentage (%),66.09
2010,,,,,Undefined,Units,Percentage (%),61.23
2011,,,,,Undefined,Units,Percentage (%),69.01
2012,,,,,Undefined,Units,Percentage (%),67.0
2013,,,,,Undefined,Units,Percentage (%),67.24
2014,,,,,Undefined,Units,Percentage (%),66.79
2015,,,,,Undefined,Units,Percentage (%),66.96
2016,,,,,Undefined,Units,Percentage (%),63.66
