Year,Type of mobile technology,Value
2000,AL2G,99.0
2001,AL2G,99.0
2002,AL2G,99.0
2003,AL2G,99.0
2004,AL2G,99.0
2005,AL2G,79.65
2006,AL2G,83.23
2007,AL2G,89.77
2007,AL3G,99.0
2008,AL2G,94.3
2008,AL3G,99.0
2009,AL2G,99.9
2009,AL3G,99.0
2010,AL2G,99.9
2010,AL3G,99.0
2011,AL2G,99.9
2011,AL3G,99.0
2012,AL2G,99.9
2012,AL3G,99.0
2013,AL2G,99.9
2013,AL3G,99.0
2014,AL2G,99.9
2014,AL3G,99.0
2014,AL4G,99.0
2015,AL2G,99.9
2015,AL3G,99.0
2015,AL4G,99.0
2016,AL2G,99.9
2016,AL3G,99.9
2016,AL4G,99.9
2017,AL2G,99.9
2017,AL3G,99.9
2017,AL4G,99.9
