Year,구분,Value
2005,A,0.10999
2006,A,0.14383
2007,A,0.04865
2008,A,0.13748
2009,A,0.50128
2010,A,0.20379
2011,A,0.16673
2012,A,0.04323
2013,A,0.03294
2014,A,0.85014
2015,A,0.13119
2016,A,0.05071
2017,A,0.14002
2018,A,0.28278
2019,A,0.21437
2005,B,31.14532
2006,B,55.66729
2007,B,36.94187
2008,B,11.2946
2009,B,1528.4374
2010,B,308.97818
2011,B,170.62742
2012,B,52.03314
2013,B,10.40311
2014,B,21.83325
2015,B,1.05543
2016,B,17.80979
2017,B,42.9559
2018,B,25.5629
2019,B,17.75809
