Year,data.Reasons,Value
2019,data.01_Sex,13.9
2019,data.02_Age,13.6
2019,data.03_Socio-Eoconomic_status,10.3
2019,data.04_Forms_of_employment,7.8
2019,data.05_Educational_background,7.7
2019,data.06_Physical_condition,6.6
2019,data.07_Political_opinion,4.1
2019,data.08_Marital status_such_as_being_single/married/divorced/widowed,3.3
2019,data.09_Geographic_location_or_Place_of_residence,2.7
2019,data.10_Marital_status_such_as_being_pregnant/with_or_without_children,2.6
2019,data.11_Health_status,2.3
2019,data.12_Religion,2.2
2019,data.13_Disability,1.7
2019,data.14_Ethnicity/Colour/Language/Migration_status,1.4
2019,data.15_Marital_status_such_as_being_orphan/born_from_unmarried_parents,1.2
