Year,Units,data.Access_point,data.Transportation,data.Time(min),Value
2016,data.Schools,data.Elementary_school,data.Car,15,99.99
2016,data.Schools,data.Elementary_school,data.Car,30,100
2016,data.Schools,data.Elementary_school,data.Car,45,100
2016,data.Schools,data.Elementary_school,data.Car,60,100
2016,data.Schools,data.Elementary_school,data.Public_transportation/walking,15,99.97
2016,data.Schools,data.Elementary_school,data.Public_transportation/walking,30,100
2016,data.Schools,data.Elementary_school,data.Public_transportation/walking,45,100
2016,data.Schools,data.Elementary_school,data.Public_transportation/walking,60,100
2016,data.Schools,data.Middle_school,data.Car,15,99.99
2016,data.Schools,data.Middle_school,data.Car,30,100
2016,data.Schools,data.Middle_school,data.Car,45,100
2016,data.Schools,data.Middle_school,data.Car,60,100
2016,data.Schools,data.Middle_school,data.Public_transportation/walking,15,98.82
2016,data.Schools,data.Middle_school,data.Public_transportation/walking,30,100
2016,data.Schools,data.Middle_school,data.Public_transportation/walking,45,100
2016,data.Schools,data.Middle_school,data.Public_transportation/walking,60,100
2016,data.Schools,data.High_school,data.Car,15,99.97
2016,data.Schools,data.High_school,data.Car,30,100
2016,data.Schools,data.High_school,data.Car,45,100
2016,data.Schools,data.High_school,data.Car,60,100
2016,data.Schools,data.High_school,data.Public_transportation/walking,15,94.49
2016,data.Schools,data.High_school,data.Public_transportation/walking,30,100
2016,data.Schools,data.High_school,data.Public_transportation/walking,45,100
2016,data.Schools,data.High_school,data.Public_transportation/walking,60,100
2016,data.Medical_facilities,data.Public_medical_facilities,data.Car,15,87.67
2016,data.Medical_facilities,data.Public_medical_facilities,data.Car,30,99.99
2016,data.Medical_facilities,data.Public_medical_facilities,data.Car,45,100
2016,data.Medical_facilities,data.Public_medical_facilities,data.Car,60,100
2016,data.Medical_facilities,data.Public_medical_facilities,data.Public_transportation/walking,15,33.67
2016,data.Medical_facilities,data.Public_medical_facilities,data.Public_transportation/walking,30,97.01
2016,data.Medical_facilities,data.Public_medical_facilities,data.Public_transportation/walking,45,99.98
2016,data.Medical_facilities,data.Public_medical_facilities,data.Public_transportation/walking,60,100
2016,data.Medical_facilities,data.Hospital/Clinic,data.Car,15,99.98
2016,data.Medical_facilities,data.Hospital/Clinic,data.Car,30,99.99
2016,data.Medical_facilities,data.Hospital/Clinic,data.Car,45,100
2016,data.Medical_facilities,data.Hospital/Clinic,data.Car,60,100
2016,data.Medical_facilities,data.Hospital/Clinic,data.Public_transportation/walking,15,99.99
2016,data.Medical_facilities,data.Hospital/Clinic,data.Public_transportation/walking,30,100
2016,data.Medical_facilities,data.Hospital/Clinic,data.Public_transportation/walking,45,100
2016,data.Medical_facilities,data.Hospital/Clinic,data.Public_transportation/walking,60,100
