Year,구분,Value
2000,생활폐기물,39384.2
2001,생활폐기물,40768.2
2002,생활폐기물,42782.9
2003,생활폐기물,42918.1
2004,생활폐기물,41578
2005,생활폐기물,40566.5
2006,생활폐기물,40899.6
2007,생활폐기물,42570.8
2008,생활폐기물,42268.9
2009,생활폐기물,42085.8
2010,생활폐기물,40920.4
2011,생활폐기물,40941.7
2012,생활폐기물,41644.2
2013,생활폐기물,40542.7
2014,생활폐기물,42355.2
2015,생활폐기물,43411.2
2016,생활폐기물,45460.3
2017,생활폐기물,45008.9
2018,생활폐기물,46749.3
2000,사업장생활계폐기물,7053.5
2001,사업장생활계폐기물,7730.4
2002,사업장생활계폐기물,7118.7
2003,사업장생활계폐기물,7818.7
2004,사업장생활계폐기물,8429.3
2005,사업장생활계폐기물,7831.8
2006,사업장생활계폐기물,7941.6
2007,사업장생활계폐기물,7775.5
2008,사업장생활계폐기물,9803.4
2009,사업장생활계폐기물,8820.4
2010,사업장생활계폐기물,8238.6
2011,사업장생활계폐기물,7992.7
2012,사업장생활계폐기물,7345.6
2013,사업장생활계폐기물,8185.5
2014,사업장생활계폐기물,7559.6
2015,사업장생활계폐기물,7835.6
2016,사업장생활계폐기물,8311.6
2017,사업장생활계폐기물,8480.6
2018,사업장생활계폐기물,9286.1
2005,건설폐기물,129572.5
2006,건설폐기물,168984.9
2007,건설폐기물,172005
2008,건설폐기물,176447.3
2009,건설폐기물,183350.8
2010,건설폐기물,178120.4
2011,건설폐기물,186417.2
2012,건설폐기물,186628.5
2013,건설폐기물,183537.7
2014,건설폐기물,185382.4
2015,건설폐기물,198259.8
2016,건설폐기물,199444
2017,건설폐기물,196261.6
2018,건설폐기물,206950.9
2006,사업장배출시설계폐기물,101099.3
2007,사업장배출시설계폐기물,114807
2008,사업장배출시설계폐기물,130777.3
2009,사업장배출시설계폐기물,123604.1
2010,사업장배출시설계폐기물,137875
2011,사업장배출시설계폐기물,137960.5
2012,사업장배출시설계폐기물,146390.4
2013,사업장배출시설계폐기물,148443.1
2014,사업장배출시설계폐기물,153188.5
2015,사업장배출시설계폐기물,155305.5
2016,사업장배출시설계폐기물,162128.9
2017,사업장배출시설계폐기물,164874.7
2018,사업장배출시설계폐기물,167726.9
