Year,Units,Type of product,Value
2000,Tonnes per capita,BIM,1.65269
2000,Tonnes per capita,COL,1.54464
2000,Tonnes per capita,CPR,0.15259
2000,Tonnes per capita,CRO,0.91844
2000,Tonnes per capita,FEO,0.9254
2000,Tonnes per capita,FOF,4.10746
2000,Tonnes per capita,GAS,0.30803
2000,Tonnes per capita,GBO,0.34662
2000,Tonnes per capita,MEO,1.06407
2000,Tonnes per capita,NFO,0.9254
2000,Tonnes per capita,NMA,0.24991
2000,Tonnes per capita,NMC,8.85665
2000,Tonnes per capita,NMM,8.92114
2000,Tonnes per capita,PET,2.25479
2000,Tonnes per capita,RAW,15.74537
2000,Tonnes per capita,WCH,0.04336
2000,Tonnes per capita,WOD,0.15908
2001,Tonnes per capita,BIM,1.61969
2001,Tonnes per capita,COL,1.55126
2001,Tonnes per capita,CPR,0.1558
2001,Tonnes per capita,CRO,0.94454
2001,Tonnes per capita,FEO,1.02589
2001,Tonnes per capita,FOF,4.05815
2001,Tonnes per capita,GAS,0.33891
2001,Tonnes per capita,GBO,0.28378
2001,Tonnes per capita,MEO,1.16271
2001,Tonnes per capita,NFO,1.02589
2001,Tonnes per capita,NMA,0.23076
2001,Tonnes per capita,NMC,9.25969
2001,Tonnes per capita,NMM,9.36845
2001,Tonnes per capita,PET,2.16797
2001,Tonnes per capita,RAW,16.20898
2001,Tonnes per capita,WCH,0.05525
2001,Tonnes per capita,WOD,0.16702
2002,Tonnes per capita,BIM,1.56189
2002,Tonnes per capita,COL,1.56899
2002,Tonnes per capita,CPR,0.14309
2002,Tonnes per capita,CRO,0.95201
2002,Tonnes per capita,FEO,1.0646
2002,Tonnes per capita,FOF,4.09756
2002,Tonnes per capita,GAS,0.37152
2002,Tonnes per capita,GBO,0.27015
2002,Tonnes per capita,MEO,1.20614
2002,Tonnes per capita,NFO,1.0646
2002,Tonnes per capita,NMA,0.26419
2002,Tonnes per capita,NMC,9.35296
2002,Tonnes per capita,NMM,9.54308
2002,Tonnes per capita,PET,2.15706
2002,Tonnes per capita,RAW,16.40868
2002,Tonnes per capita,WCH,0.05136
2002,Tonnes per capita,WOD,0.17131
2003,Tonnes per capita,BIM,1.46605
2003,Tonnes per capita,COL,1.59801
2003,Tonnes per capita,CPR,0.12626
2003,Tonnes per capita,CRO,0.92099
2003,Tonnes per capita,FEO,1.03335
2003,Tonnes per capita,FOF,4.18338
2003,Tonnes per capita,GAS,0.40281
2003,Tonnes per capita,GBO,0.24411
2003,Tonnes per capita,MEO,1.17819
2003,Tonnes per capita,NFO,1.03335
2003,Tonnes per capita,NMA,0.2468
2003,Tonnes per capita,NMC,10.2191
2003,Tonnes per capita,NMM,10.39961
2003,Tonnes per capita,PET,2.18255
2003,Tonnes per capita,RAW,17.22723
2003,Tonnes per capita,WCH,0.05153
2003,Tonnes per capita,WOD,0.14736
2004,Tonnes per capita,BIM,1.51267
2004,Tonnes per capita,COL,1.70817
2004,Tonnes per capita,CPR,0.1429
2004,Tonnes per capita,CRO,0.89248
2004,Tonnes per capita,FEO,1.09193
2004,Tonnes per capita,FOF,4.32256
2004,Tonnes per capita,GAS,0.45697
2004,Tonnes per capita,GBO,0.23973
2004,Tonnes per capita,MEO,1.23866
2004,Tonnes per capita,NFO,1.09193
2004,Tonnes per capita,NMA,0.24212
2004,Tonnes per capita,NMC,9.71176
2004,Tonnes per capita,NMM,9.86701
2004,Tonnes per capita,PET,2.15743
2004,Tonnes per capita,RAW,16.9409
2004,Tonnes per capita,WCH,0.05104
2004,Tonnes per capita,WOD,0.15668
2005,Tonnes per capita,BIM,1.49785
2005,Tonnes per capita,COL,1.64101
2005,Tonnes per capita,CPR,0.14057
2005,Tonnes per capita,CRO,0.91834
2005,Tonnes per capita,FEO,1.03742
2005,Tonnes per capita,FOF,4.1618
2005,Tonnes per capita,GAS,0.46594
2005,Tonnes per capita,GBO,0.24751
2005,Tonnes per capita,MEO,1.1816
