Year,data.category,Value
2005,data.dead_or_missing,0.1086
2005,data.directly_affected,30.5941
2006,data.dead_or_missing,0.1415
2006,data.directly_affected,55.6053
2007,data.dead_or_missing,0.0477
2007,data.directly_affected,37.5003
2008,data.dead_or_missing,0.1343
2008,data.directly_affected,11.6431
2009,data.dead_or_missing,0.4878
2009,data.directly_affected,35.0652
2010,data.dead_or_missing,0.0737
2010,data.directly_affected,190.5883
2011,data.dead_or_missing,0.1647
2011,data.directly_affected,171.1633
2012,data.dead_or_missing,0.0423
2012,data.directly_affected,52.6418
2013,data.dead_or_missing,0.0319
2013,data.directly_affected,10.6232
2014,data.dead_or_missing,0.8169
2014,data.directly_affected,22.6798
2015,data.dead_or_missing,0.1314
2015,data.directly_affected,1.0587
2016,data.dead_or_missing,0.0507
2016,data.directly_affected,17.7966
2017,data.dead_or_missing,0.1398
2017,data.directly_affected,42.8818
2018,data.dead_or_missing,0.2825
2018,data.directly_affected,25.5414
2019,data.dead_or_missing,0.2143
2019,data.directly_affected,17.7503
2020,data.dead_or_missing,2.0889
2020,data.directly_affected,254.0990
