Year,data.category,Value
2000,,502.73045
2001,,516.00872
2002,,538.45807
2003,,548.80843
2004,,557.04282
2005,,561.48336
2006,,566.90344
2007,,580.19615
2008,,593.54072
2009,,597.31937
2010,,655.1063
2011,,683.79812
2012,,687.00498
2013,,695.7153
2014,,690.77992
2015,,691.34106
2016,,692.40977
2017,,709.4223
2018,,725.02728
2019,,699.21367
2020,,654.44546
2021,,676.6479
2000,Co2,443.67442
2001,Co2,459.37787
2002,Co2,478.85964
2003,Co2,487.33891
2004,Co2,492.74473
2005,Co2,498.19795
2006,Co2,503.89381
2007,Co2,524.07631
2008,Co2,537.66163
2009,Co2,541.81657
2010,Co2,594.36527
2011,Co2,625.0266
2012,Co2,626.76182
2013,Co2,635.06189
2014,Co2,628.56625
2015,Co2,633.04019
2016,Co2,636.15491
2017,Co2,649.00198
2018,Co2,663.03407
2019,Co2,641.77604
2020,Co2,597.96542
2021,Co2,617.83302
2000,CH4,27.90153
2001,CH4,28.26188
2002,CH4,28.45051
2003,CH4,28.44717
2004,CH4,27.5152
2005,CH4,27.52296
2006,CH4,27.36893
2007,CH4,27.20366
2008,CH4,27.14387
2009,CH4,27.17254
2010,CH4,27.78287
2011,CH4,27.85862
2012,CH4,27.7274
2013,CH4,27.53482
2014,CH4,27.35825
2015,CH4,27.32158
2016,CH4,27.38816
2017,CH4,27.83822
2018,CH4,28.00601
2019,CH4,27.24556
2020,CH4,27.0461
2021,CH4,27.2718
2000,N2O,17.638
2001,N2O,17.80128
2002,N2O,17.60291
2003,N2O,20.99868
2004,N2O,23.48817
2005,N2O,22.04244
2006,N2O,21.3038
2007,N2O,12.15459
2008,N2O,11.61133
2009,N2O,11.9836
2010,N2O,12.51619
2011,N2O,12.31045
2012,N2O,12.82965
2013,N2O,12.99485
2014,N2O,13.09273
2015,N2O,13.02092
2016,N2O,12.98995
2017,N2O,13.82949
2018,N2O,14.3251
2019,N2O,14.23789
2020,N2O,14.26534
2021,N2O,14.7883
2000,HFCs,8.44331
2001,HFCs,5.85164
2002,HFCs,8.65261
2003,HFCs,6.44292
2004,HFCs,6.59097
2005,HFCs,6.65118
2006,HFCs,6.09796
2007,HFCs,7.36299
2008,HFCs,6.88107
2009,HFCs,5.84615
2010,HFCs,8.08759
2011,HFCs,7.907
2012,HFCs,8.69442
2013,HFCs,8.09474
2014,HFCs,8.53755
2015,HFCs,7.93123
2016,HFCs,7.36592
2017,HFCs,9.64858
2018,HFCs,9.30452
2019,HFCs,6.85488
2020,HFCs,6.66223
2021,HFCs,7.93038
2000,PFCs,2.24973
2001,PFCs,1.98949
2002,PFCs,1.97316
2003,PFCs,2.2669
2004,PFCs,2.77407
2005,PFCs,2.79676
2006,PFCs,2.92512
2007,PFCs,2.97831
2008,PFCs,2.7928
2009,PFCs,2.04714
2010,PFCs,2.26459
2011,PFCs,2.07179
2012,PFCs,2.26788
2013,PFCs,2.32056
2014,PFCs,2.4269
2015,PFCs,1.52149
2016,PFCs,1.48926
2017,PFCs,2.12277
2018,PFCs,3.17978
2019,PFCs,3.00327
2020,PFCs,3.4007
2021,PFCs,3.6396
2000,SF6,2.82346
2001,SF6,2.72655
2002,SF6,2.91923
2003,SF6,3.31385
2004,SF6,3.92968
2005,SF6,4.27208
2006,SF6,5.31382
2007,SF6,6.4203
2008,SF6,7.45001
2009,SF6,8.45337
2010,SF6,10.08979
2011,SF6,8.62367
2012,SF6,8.72381
2013,SF6,9.70843
2014,SF6,10.79824
2015,SF6,8.50566
2016,SF6,7.02158
2017,SF6,6.98127
2018,SF6,7.17781
2019,SF6,6.09603
2020,SF6,5.10567
2021,SF6,5.1848
