Year,Units,Value
2000,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare),58.68
2010,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare),98.4
2015,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare),115.7
2016,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare),119.04
2017,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare),122.31
2018,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare),125.51
2019,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare),128.63
2020,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare),131.69
2000,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),0
2005,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),0
2010,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),193.391
2015,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),384.216
2016,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),390.568
2017,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),392.291
2018,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),337.616
2019,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),214.571
2020,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),673.193
2021,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),710.77
2022,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares),714.54
2010,data.Forest_area_annual_net_change_rate_(%),-0.14
2015,data.Forest_area_annual_net_change_rate_(%),0
2020,data.Forest_area_annual_net_change_rate_(%),-0.16
2000,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%),59.02
2010,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%),50.1
2015,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%),51.73
2016,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%),50.7
2017,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%),44.72
2018,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%),42.92
2019,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%),41.14
2020,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%),39.34
2000,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%),5.32
2010,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%),6.52
2015,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%),7.02
2016,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%),7.02
2017,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%),6.86
2018,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%),6.86
2019,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%),6.86
2020,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%),6.86
