Year,data.category,data.Sex,data.Age,Value
2013,,,,3.1
2013,data.Urban,,,3.1
2013,data.Rural,,,3.2
2013,,data.Male,,3.1
2013,,data.Female,,3.1
2013,,,19~29,3
2013,,,30~39,3.1
2013,,,40~49,3.1
2013,,,50~59,3.1
2013,,,60~69,3.3
2014,,,,3.3
2014,data.Urban,,,3.2
2014,data.Rural,,,3.3
2014,,data.Male,,3.2
2014,,data.Female,,3.3
2014,,,19~29,3.2
2014,,,30~39,3.2
2014,,,40~49,3.2
2014,,,50~59,3.4
2014,,,60~69,3.5
2015,,,,3.2
2015,data.Urban,,,3.3
2015,data.Rural,,,3.2
2015,,data.Male,,3.2
2015,,data.Female,,3.3
2015,,,19~29,3.2
2015,,,30~39,3.3
2015,,,40~49,3.2
2015,,,50~59,3.2
2015,,,60~69,3.4
2016,,,,3.3
2016,data.Urban,,,3.3
2016,data.Rural,,,3.4
2016,,data.Male,,3.3
2016,,data.Female,,3.4
2016,,,19~29,3.4
2016,,,30~39,3.3
2016,,,40~49,3.3
2016,,,50~59,3.4
2016,,,60~69,3.4
2017,,,,3.2
2017,data.Urban,,,3.2
2017,data.Rural,,,3.3
2017,,data.Male,,3.2
2017,,data.Female,,3.2
2017,,,19~29,3.2
2017,,,30~39,3.2
2017,,,40~49,3.2
2017,,,50~59,3.3
2017,,,60~69,3.3
2018,,,,3.2
2018,data.Urban,,,3.2
2018,data.Rural,,,3.2
2018,,data.Male,,3.2
2018,,data.Female,,3.3
2018,,,19~29,3.2
2018,,,30~39,3.1
2018,,,40~49,3.2
2018,,,50~59,3.3
2018,,,60~69,3.4
2019,,,,3.1
2019,data.Urban,,,3.1
2019,data.Rural,,,3.2
2019,,data.Male,,3.1
2019,,data.Female,,3.1
2019,,,19~29,3.1
2019,,,30~39,3
2019,,,40~49,3.1
2019,,,50~59,3.2
2019,,,60~69,3.2
2020,,,,3.4
2020,data.Urban,,,3.4
2020,data.Rural,,,3.3
2020,,data.Male,,3.3
2020,,data.Female,,3.4
2020,,,19~29,3.4
2020,,,30~39,3.3
2020,,,40~49,3.3
2020,,,50~59,3.4
2020,,,60~,3.5
