Year,Tariff regime (status),Type of product,Value
2005,PRF,AGR,85.66796
2005,MFN,AGR,85.77802
2005,PRF,ARM,0.0955
2005,MFN,ARM,0.0955
2005,PRF,ALP,7.68152
2005,MFN,ALP,7.72337
2005,PRF,TEX,8.38931
2005,PRF,CLO,11.69277
2005,MFN,IND,3.94262
2005,MFN,TEX,8.45397
2005,MFN,OIL,5
2005,MFN,CLO,12.85406
2005,PRF,IND,3.91128
2005,PRF,OIL,5
2010,MFN,CLO,12.7957
2010,PRF,ARM,0.08781
2010,MFN,ARM,0.09083
2010,PRF,ALP,6.74107
2010,MFN,ALP,7.04993
2010,PRF,AGR,81.0859
2010,MFN,AGR,81.64962
2010,PRF,CLO,10.17221
2010,PRF,TEX,7.02851
2010,MFN,TEX,8.05419
2010,MFN,IND,3.70202
2010,MFN,OIL,3
2010,PRF,IND,3.38629
2010,PRF,OIL,2.99424
2015,MFN,OIL,3
2015,PRF,CLO,5.30217
2015,MFN,CLO,12.84361
2015,PRF,ARM,0.00854
2015,PRF,ALP,5.89757
2015,MFN,ARM,0.23528
2015,PRF,OIL,2.82909
2015,MFN,ALP,8.43952
2015,MFN,TEX,8.2163
2015,PRF,TEX,4.72633
2015,PRF,AGR,67.69582
2015,MFN,AGR,80.72593
2015,PRF,IND,2.04267
2015,MFN,IND,4.08585
2016,PRF,AGR,71.83376
2016,MFN,AGR,84.2454
2016,MFN,TEX,8.23572
2016,PRF,OIL,2.90267
2016,PRF,ARM,0.01124
2016,MFN,CLO,12.86571
2016,PRF,CLO,5.74865
2016,MFN,IND,3.72576
2016,PRF,ALP,6.43366
2016,MFN,ALP,8.38422
2016,PRF,IND,2.35081
2016,MFN,OIL,3
2016,MFN,ARM,0.23784
2016,PRF,TEX,5.27651
2017,MFN,AGR,71.3647
2017,PRF,AGR,52.02163
2017,MFN,ALP,8.4463
2017,MFN,IND,4.92743
2017,PRF,IND,2.08352
2017,MFN,OIL,3
2017,PRF,ALP,4.90317
2017,MFN,ARM,0.27122
2017,PRF,ARM,0.01118
2017,MFN,TEX,8.2312
2017,PRF,TEX,3.58611
2017,PRF,OIL,2.77755
2017,MFN,CLO,12.83197
2017,PRF,CLO,3.741
