Year,Time serieses,data.Type_of_product,Value
2000,data.preferencial_status,data.Agricultural_products,10.24572
2005,data.preferencial_status,data.Agricultural_products,11.04442
2010,data.preferencial_status,data.Agricultural_products,10.60588
2011,data.preferencial_status,data.Agricultural_products,6.19085
2012,data.preferencial_status,data.Agricultural_products,5.5231
2013,data.preferencial_status,data.Agricultural_products,5.19522
2014,data.preferencial_status,data.Agricultural_products,4.88385
2015,data.preferencial_status,data.Agricultural_products,4.47635
2016,data.preferencial_status,data.Agricultural_products,4.06457
2017,data.preferencial_status,data.Agricultural_products,3.51956
2018,data.preferencial_status,data.Agricultural_products,4.03987
2000,data.preferencial_status,data.Total_or_no_breakdown,1.98015
2005,data.preferencial_status,data.Total_or_no_breakdown,1.84785
2010,data.preferencial_status,data.Total_or_no_breakdown,1.5983
2011,data.preferencial_status,data.Total_or_no_breakdown,1.1392
2012,data.preferencial_status,data.Total_or_no_breakdown,1.1529
2013,data.preferencial_status,data.Total_or_no_breakdown,0.6988
2014,data.preferencial_status,data.Total_or_no_breakdown,0.58898
2015,data.preferencial_status,data.Total_or_no_breakdown,0.53009
2016,data.preferencial_status,data.Total_or_no_breakdown,0.16647
2017,data.preferencial_status,data.Total_or_no_breakdown,0.18639
2018,data.preferencial_status,data.Total_or_no_breakdown,0.12896
2000,data.preferencial_status,data.Arms,1.04129
2005,data.preferencial_status,data.Arms,0.96376
2010,data.preferencial_status,data.Arms,0.96139
2011,data.preferencial_status,data.Arms,0.59477
2012,data.preferencial_status,data.Arms,0.63105
2013,data.preferencial_status,data.Arms,0.28081
2014,data.preferencial_status,data.Arms,0.28081
2015,data.preferencial_status,data.Arms,0.28052
2016,data.preferencial_status,data.Arms,0.03395
2017,data.preferencial_status,data.Arms,0.03326
2018,data.preferencial_status,data.Arms,0.03326
2000,data.preferencial_status,data.Clothing,13.28555
2005,data.preferencial_status,data.Clothing,12.33657
2010,data.preferencial_status,data.Clothing,12.52568
2011,data.preferencial_status,data.Clothing,9.00536
2012,data.preferencial_status,data.Clothing,9.00782
2013,data.preferencial_status,data.Clothing,3.19203
2014,data.preferencial_status,data.Clothing,3.00212
2015,data.preferencial_status,data.Clothing,2.54647
2016,data.preferencial_status,data.Clothing,2.14519
2017,data.preferencial_status,data.Clothing,1.86969
2018,data.preferencial_status,data.Clothing,1.77323
2000,data.preferencial_status,data.Industrial_products,1.87223
2005,data.preferencial_status,data.Industrial_products,1.74735
2010,data.preferencial_status,data.Industrial_products,1.49463
