Year,data.Sex,data.Age,Value
2008,data.Male,,81.6
2008,data.Female,,71.5
2008,,3~9,82.2
2008,,10~19,99.9
2008,,20~29,99.7
2008,,30~39,98.6
2008,,40-49,82
2008,,50-59,48.9
2008,,60-69,
2008,,60+,19
2008,,70+,
2009,data.Male,,82.4
2009,data.Female,,71.9
2009,,3-9,85.4
2009,,10-19,99.9
2009,,20-29,99.7
2009,,30-39,98.8
2009,,40-49,84.3
2009,,50-59,52.3
2009,,60-69,
2009,,60+,20.1
2009,,70+,
2010,data.Male,,83.2
2010,data.Female,,72.4
2010,,3-9,85.5
2010,,10-19,99.9
2010,,20-29,99.9
2010,,30-39,99.3
2010,,40-49,87.3
2010,,50-59,55.2
2010,,60-69,
2010,,60+,21.8
2010,,70+,
2011,data.Male,,83.4
2011,data.Female,,72.5
2011,,3-9,86.2
2011,,10-19,99.9
2011,,20-29,99.9
2011,,30-39,99.4
2011,,40-49,88.4
2011,,50-59,57.4
2011,,60-69,
2011,,60+,22.9
2011,,70+,
2012,data.Male,,83.6
2012,data.Female,,73.2
2012,,3-9,88.2
2012,,10-19,99.9
2012,,20-29,99.9
2012,,30-39,99.5
2012,,40-49,89.6
2012,,50-59,60.1
2012,,60-69,
2012,,60+,24.4
2012,,70+,
2013,data.Male,,86.2
2013,data.Female,,78
2013,,3-9,80.1
2013,,10-19,99.7
2013,,20-29,99.9
2013,,30-39,99.7
2013,,40-49,86.8
2013,,50-59,80.3
2013,,60-69,
2013,,60+,26.8
2013,,70+,
2014,data.Male,,87.3
2014,data.Female,,79.8
2014,,3-9,78.8
2014,,10-19,99.7
2014,,20-29,99.9
2014,,30-39,99.8
2014,,40-49,97.5
2014,,50-59,86.1
2014,,60-69,
2014,,60+,32.8
2014,,70+,
2015,data.Male,,88.4
2015,data.Female,,81.9
2015,,3-9,79.8
2015,,10-19,99.9
2015,,20-29,99.9
2015,,30-39,99.8
2015,,40-49,98.8
2015,,50-59,89.3
2015,,60-69,59.6
2015,,60+,
2015,,70+,17.9
2016,data.Male,,91
2016,data.Female,,85.6
2016,,3-9,82.9
2016,,10-19,100
2016,,20-29,99.9
2016,,30-39,99.8
2016,,40-49,99.4
2016,,50-59,94.9
2016,,60-69,74.5
2016,,60+,
2016,,70+,25.9
2017,data.Male,,92.7
2017,data.Female,,87.7
2017,,3-9,83.9
2017,,10-19,99.9
2017,,20-29,99.9
2017,,30-39,99.9
2017,,40-49,99.7
2017,,50-59,98.7
2017,,60-69,82.5
2017,,60+,
2017,,70+,31.8
2018,data.Male,,93.9
2018,data.Female,,89.1
2018,,3-9,87.8
2018,,10-19,99.9
2018,,20-29,99.9
2018,,30-39,99.9
2018,,40-49,99.7
2018,,50-59,98.7
2018,,60-69,88.8
2018,,60+,
2018,,70+,38.6
2019,data.Male,,93.9
2019,data.Female,,89.6
2019,,3-9,91.2
2019,,10-19,99.9
2019,,20-29,99.9
2019,,30-39,100
2019,,40-49,99.8
2019,,50-59,99.3
2019,,60-69,89.1
2019,,60+,
2019,,70+,38.9
