Year,Units,응답자특성별,Value
2001,성별,,18.15
2001,성별,남자,14.2
2001,성별,여자,22.1
2005,성별,,11.55
2005,성별,남자,9.4
2005,성별,여자,13.7
2007,성별,,17.15
2007,성별,남자,11.3
2007,성별,여자,23
2008,성별,,13.8
2008,성별,남자,10.8
2008,성별,여자,16.8
2009,성별,,14.25
2009,성별,남자,10.1
2009,성별,여자,18.4
2010,성별,,10.05
2010,성별,남자,6.9
2010,성별,여자,13.2
2011,성별,,10.65
2011,성별,남자,7.4
2011,성별,여자,13.9
2012,성별,,11.9
2012,성별,남자,8.4
2012,성별,여자,15.4
2013,성별,,8.05
2013,성별,남자,5.3
2013,성별,여자,10.8
2014,성별,,8.05
2014,성별,남자,5.3
2014,성별,여자,10.8
2015,성별,,8.5
2015,성별,남자,5.5
2015,성별,여자,11.5
2016,성별,,12.4
2016,성별,남자,8.2
2016,성별,여자,16.6
2017,성별,,13.35
2017,성별,남자,10.7
2017,성별,여자,16
2018,성별,,12.85
2018,성별,남자,8.3
2018,성별,여자,17.4
2001,연령대별2,,18.95
2001,연령대별2,1-2세,15.7
2001,연령대별2,3-5세,16.8
2001,연령대별2,6-11세,16.1
2001,연령대별2,12-18세,21.5
2001,연령대별2,19-29세,20.8
2001,연령대별2,30-49세,15.5
2001,연령대별2,50-64세,17.4
2001,연령대별2,65세이상,27.8
2005,연령대별2,,11.0875
2005,연령대별2,1-2세,8.7
2005,연령대별2,3-5세,7.1
2005,연령대별2,6-11세,6.7
2005,연령대별2,12-18세,14.5
2005,연령대별2,19-29세,16
2005,연령대별2,30-49세,10.2
2005,연령대별2,50-64세,9.7
2005,연령대별2,65세이상,15.8
2007,연령대별2,,17.7375
2007,연령대별2,1-2세,18.1
2007,연령대별2,3-5세,15.5
2007,연령대별2,6-11세,11.3
2007,연령대별2,12-18세,19.9
2007,연령대별2,19-29세,21.8
2007,연령대별2,30-49세,14.1
2007,연령대별2,50-64세,13.7
2007,연령대별2,65세이상,27.5
2008,연령대별2,,12.85
2008,연령대별2,1-2세,7.6
2008,연령대별2,3-5세,6.7
2008,연령대별2,6-11세,6.8
2008,연령대별2,12-18세,20
2008,연령대별2,19-29세,20.7
2008,연령대별2,30-49세,11.2
2008,연령대별2,50-64세,9.3
2008,연령대별2,65세이상,20.5
2009,연령대별2,,13.525
