Year,data.Residential_area,data.Income_classes,Value
2005,,,87.9
2005,data.Suburban(Dong),,88.2
2005,data.Rural(Eup/Myeon),,86.6
2005,,data.Lower,73.4
2005,,data.Lower_middle,86.4
2005,,data.Middle,92
2005,,data.Upper_middle,94.3
2005,,data.Upper,99.7
2007,,,89
2007,data.Suburban(Dong),,90.2
2007,data.Rural(Eup/Myeon),,85
2007,,data.Lower,72.8
2007,,data.Lower_middle,87.2
2007,,data.Middle,96.4
2007,,data.Upper_middle,98.1
2007,,data.Upper,99.3
2008,,,88.2
2008,data.Suburban(Dong),,89.2
2008,data.Rural(Eup/Myeon),,84
2008,,data.Lower,70.7
2008,,data.Lower_middle,88
2008,,data.Middle,92.3
2008,,data.Upper_middle,96.6
2008,,data.Upper,99
2009,,,92
2009,data.Suburban(Dong),,92.4
2009,data.Rural(Eup/Myeon),,90.7
2009,,data.Lower,80.6
2009,,data.Lower_middle,93.2
2009,,data.Middle,94.4
2009,,data.Upper_middle,97.8
2009,,data.Upper,99.6
2010,,,95.4
2010,data.Suburban(Dong),,95
2010,data.Rural(Eup/Myeon),,96.6
2010,,data.Lower,88.1
2010,,data.Lower_middle,97.5
2010,,data.Middle,98.6
2010,,data.Upper_middle,99.6
2010,,data.Upper,99.2
2011,,,95.2
2011,data.Suburban(Dong),,95.5
2011,data.Rural(Eup/Myeon),,94.4
2011,,data.Lower,88.2
2011,,data.Lower_middle,97.1
2011,,data.Middle,98.7
2011,,data.Upper_middle,98.6
2011,,data.Upper,99.7
2012,,,92.2
2012,data.Suburban(Dong),,92.1
2012,data.Rural(Eup/Myeon),,92.3
2012,,data.Lower,82.1
2012,,data.Lower_middle,92.6
2012,,data.Middle,98.7
2012,,data.Upper_middle,98.7
2012,,data.Upper,99.6
2013,,,93.5
2013,data.Suburban(Dong),,92.8
2013,data.Rural(Eup/Myeon),,96.2
2013,,data.Lower,82.1
2013,,data.Lower_middle,95.9
2013,,data.Middle,98.2
2013,,data.Upper_middle,98.5
2013,,data.Upper,99.5
2014,,,93.8
2014,data.Suburban(Dong),,93.8
2014,data.Rural(Eup/Myeon),,94
2014,,data.Lower,84.9
2014,,data.Lower_middle,93.4
2014,,data.Middle,97.6
2014,,data.Upper_middle,99.6
2014,,data.Upper,99.5
2015,,,93.5
2015,data.Suburban(Dong),,93.4
2015,data.Rural(Eup/Myeon),,93.8
2015,,data.Lower,84.4
2015,,data.Lower_middle,94.3
2015,,data.Middle,95
2015,,data.Upper_middle,98.8
2015,,data.Upper,99.7
2016,,,95.8
2016,data.Suburban(Dong),,95.9
2016,data.Rural(Eup/Myeon),,95.2
2016,,data.Lower,89.2
2016,,data.Lower_middle,96.1
2016,,data.Middle,97.9
2016,,data.Upper_middle,99.7
2016,,data.Upper,99.5
2017,,,96.3
2017,data.Suburban(Dong),,96.5
2017,data.Rural(Eup/Myeon),,94.9
2017,,data.Lower,88.2
2017,,data.Lower_middle,94.9
2017,,data.Middle,98.4
2017,,data.Upper_middle,99.8
2017,,data.Upper,99.5
2018,,,96.9
2018,data.Suburban(Dong),,97.1
2018,data.Rural(Eup/Myeon),,96
2018,,data.Lower,88.5
2018,,data.Lower_middle,97.7
2018,,data.Middle,98.6
2018,,data.Upper_middle,99.5
2018,,data.Upper,99.9
