Year,data.Cultivation_size,Value
2003,,11
2003,0~0.5_ha,6
2003,0.5~1.0_ha,7
2003,1.0~1.5_ha,10
2003,1.5~2.0_ha,12
2003,2.0~3.0_ha,12
2003,3.0~5.0_ha,13
2003,5.0~7.0_ha,15
2003,7.0~10.0_ha,18
2003,10.0_ha~,17
2004,,12
2004,0~0.5_ha,8
2004,0.5~1.0_ha,10
2004,1.0~1.5_ha,10
2004,1.5~2.0_ha,11
2004,2.0~3.0_ha,12
2004,3.0~5.0_ha,14
2004,5.0~7.0_ha,16
2004,7.0~10.0_ha,18
2004,10.0_ha~,21
2005,,12
2005,0~0.5_ha,9
2005,0.5~1.0_ha,10
2005,1.0~1.5_ha,11
2005,1.5~2.0_ha,12
2005,2.0~3.0_ha,13
2005,3.0~5.0_ha,14
2005,5.0~7.0_ha,14
2005,7.0~10.0_ha,18
2005,10.0_ha~,15
2006,,13
2006,0~0.5_ha,9
2006,0.5~1.0_ha,10
2006,1.0~1.5_ha,11
2006,1.5~2.0_ha,12
2006,2.0~3.0_ha,14
2006,3.0~5.0_ha,15
2006,5.0~7.0_ha,15
2006,7.0~10.0_ha,22
2006,10.0_ha~,23
2007,,13
2007,0~0.5_ha,8
2007,0.5~1.0_ha,11
2007,1.0~1.5_ha,10
2007,1.5~2.0_ha,12
2007,2.0~3.0_ha,13
2007,3.0~5.0_ha,14
2007,5.0~7.0_ha,17
2007,7.0~10.0_ha,20
2007,10.0_ha~,18
2008,,13
2008,0~0.5_ha,8
2008,0.5~1.0_ha,10
2008,1.0~1.5_ha,11
2008,1.5~2.0_ha,13
2008,2.0~3.0_ha,15
2008,3.0~5.0_ha,15
2008,5.0~7.0_ha,16
2008,7.0~10.0_ha,25
2008,10.0_ha~,22
2009,,14
2009,0~0.5_ha,8
2009,0.5~1.0_ha,13
2009,1.0~1.5_ha,13
2009,1.5~2.0_ha,14
2009,2.0~3.0_ha,15
2009,3.0~5.0_ha,15
2009,5.0~7.0_ha,17
2009,7.0~10.0_ha,21
2009,10.0_ha~,24
2010,,16
2010,0~0.5_ha,9
2010,0.5~1.0_ha,15
2010,1.0~1.5_ha,14
2010,1.5~2.0_ha,13
2010,2.0~3.0_ha,15
2010,3.0~5.0_ha,19
2010,5.0~7.0_ha,18
2010,7.0~10.0_ha,26
2010,10.0_ha~,26
2011,,15
2011,0~0.5_ha,8
2011,0.5~1.0_ha,11
2011,1.0~1.5_ha,15
2011,1.5~2.0_ha,13
2011,2.0~3.0_ha,16
2011,3.0~5.0_ha,18
2011,5.0~7.0_ha,15
2011,7.0~10.0_ha,34
2011,10.0_ha~,31
2012,,17
2012,0~0.5_ha,7
2012,0.5~1.0_ha,11
2012,1.0~1.5_ha,17
2012,1.5~2.0_ha,15
2012,2.0~3.0_ha,17
2012,3.0~5.0_ha,22
2012,5.0~7.0_ha,24
2012,7.0~10.0_ha,34
2012,10.0_ha~,27
2013,,16
2013,0~0.5_ha,8
2013,0.5~1.0_ha,11
2013,1.0~1.5_ha,16
2013,1.5~2.0_ha,19
2013,2.0~3.0_ha,18
2013,3.0~5.0_ha,22
2013,5.0~7.0_ha,24
2013,7.0~10.0_ha,22
2013,10.0_ha~,25
2014,,17
2014,0~0.5_ha,9
2014,0.5~1.0_ha,13
2014,1.0~1.5_ha,17
2014,1.5~2.0_ha,18
2014,2.0~3.0_ha,18
2014,3.0~5.0_ha,22
2014,5.0~7.0_ha,26
2014,7.0~10.0_ha,32
2014,10.0_ha~,28
2015,,19
2015,0~0.5_ha,10
2015,0.5~1.0_ha,15
2015,1.0~1.5_ha,16
2015,1.5~2.0_ha,19
2015,2.0~3.0_ha,24
2015,3.0~5.0_ha,25
2015,5.0~7.0_ha,36
2015,7.0~10.0_ha,36
2015,10.0_ha~,33
2016,,20
2016,0~0.5_ha,10
2016,0.5~1.0_ha,15
2016,1.0~1.5_ha,18
2016,1.5~2.0_ha,18
2016,2.0~3.0_ha,24
2016,3.0~5.0_ha,27
2016,5.0~7.0_ha,31
2016,7.0~10.0_ha,42
2016,10.0_ha~,33
2017,,21
2017,0~0.5_ha,8
2017,0.5~1.0_ha,16
2017,1.0~1.5_ha,19
2017,1.5~2.0_ha,20
2017,2.0~3.0_ha,26
2017,3.0~5.0_ha,29
2017,5.0~7.0_ha,41
2017,7.0~10.0_ha,42
2017,10.0_ha~,42
2018,,18
2018,0~0.5_ha,8
2018,0.5~1.0_ha,13
2018,1.0~1.5_ha,14
2018,1.5~2.0_ha,18
2018,2.0~3.0_ha,22
2018,3.0~5.0_ha,29
2018,5.0~7.0_ha,28
2018,7.0~10.0_ha,39
2018,10.0_ha~,45
2019,,17
2019,0~0.5_ha,7
2019,0.5~1.0_ha,12
2019,1.0~1.5_ha,13
2019,1.5~2.0_ha,16
2019,2.0~3.0_ha,20
2019,3.0~5.0_ha,25
2019,5.0~7.0_ha,30
2019,7.0~10.0_ha,32
2019,10.0_ha~,44
2020,,18
2020,0~0.5_ha,7
2020,0.5~1.0_ha,12
2020,1.0~1.5_ha,15
2020,1.5~2.0_ha,18
2020,2.0~3.0_ha,22
2020,3.0~5.0_ha,28
2020,5.0~7.0_ha,31
2020,7.0~10.0_ha,32
2020,10.0_ha~,42
2021,,18
2021,0~0.5_ha,9
2021,0.5~1.0_ha,13
2021,1.0~1.5_ha,18
2021,1.5~2.0_ha,17
2021,2.0~3.0_ha,24
2021,3.0~5.0_ha,27
2021,5.0~7.0_ha,30
2021,7.0~10.0_ha,38
2021,10.0_ha~,31

