Year,Units,Value
2001,data.Agriculture_orientation_index_for_government_expenditures,1.598
2002,data.Agriculture_orientation_index_for_government_expenditures,1.616
2003,data.Agriculture_orientation_index_for_government_expenditures,1.655
2004,data.Agriculture_orientation_index_for_government_expenditures,1.502
2005,data.Agriculture_orientation_index_for_government_expenditures,1.716
2006,data.Agriculture_orientation_index_for_government_expenditures,2.043
2007,data.Agriculture_orientation_index_for_government_expenditures,2.101
2008,data.Agriculture_orientation_index_for_government_expenditures,2.201
2009,data.Agriculture_orientation_index_for_government_expenditures,1.897
2010,data.Agriculture_orientation_index_for_government_expenditures,2.086
2011,data.Agriculture_orientation_index_for_government_expenditures,2.154
2012,data.Agriculture_orientation_index_for_government_expenditures,1.955
2013,data.Agriculture_orientation_index_for_government_expenditures,1.939
2014,data.Agriculture_orientation_index_for_government_expenditures,1.809
2015,data.Agriculture_orientation_index_for_government_expenditures,2.059
2016,data.Agriculture_orientation_index_for_government_expenditures,2.174
2017,data.Agriculture_orientation_index_for_government_expenditures,2.163
2018,data.Agriculture_orientation_index_for_government_expenditures,2.321
2019,data.Agriculture_orientation_index_for_government_expenditures,2.04
2020,data.Agriculture_orientation_index_for_government_expenditures,1.8
2021,data.Agriculture_orientation_index_for_government_expenditures,2.04
2001,data.Agriculture_share_of_Government_Expenditure(%),5.69974
2002,data.Agriculture_share_of_Government_Expenditure(%),5.18095
2003,data.Agriculture_share_of_Government_Expenditure(%),4.90677
2004,data.Agriculture_share_of_Government_Expenditure(%),4.44192
2005,data.Agriculture_share_of_Government_Expenditure(%),4.49618
2006,data.Agriculture_share_of_Government_Expenditure(%),5.1013
2007,data.Agriculture_share_of_Government_Expenditure(%),4.79824
2008,data.Agriculture_share_of_Government_Expenditure(%),4.71453
2009,data.Agriculture_share_of_Government_Expenditure(%),4.25093
2010,data.Agriculture_share_of_Government_Expenditure(%),4.47172
2011,data.Agriculture_share_of_Government_Expenditure(%),4.7592
2012,data.Agriculture_share_of_Government_Expenditure(%),4.27384
2013,data.Agriculture_share_of_Government_Expenditure(%),4.06971
2014,data.Agriculture_share_of_Government_Expenditure(%),3.72095
2015,data.Agriculture_share_of_Government_Expenditure(%),4.12655
2016,data.Agriculture_share_of_Government_Expenditure(%),4.04131
2017,data.Agriculture_share_of_Government_Expenditure(%),4.0
2018,data.Agriculture_share_of_Government_Expenditure(%),4.05
2019,data.Agriculture_share_of_Government_Expenditure(%),3.41
2020,data.Agriculture_share_of_Government_Expenditure(%),3.17
2021,data.Agriculture_share_of_Government_Expenditure(%),3.66
2001,data.Agriculture_value_added_share_of_GDP(%),3.56582
2002,data.Agriculture_value_added_share_of_GDP(%),3.2068
2003,data.Agriculture_value_added_share_of_GDP(%),2.9646
2004,data.Agriculture_value_added_share_of_GDP(%),2.95802
2005,data.Agriculture_value_added_share_of_GDP(%),2.61998
2006,data.Agriculture_value_added_share_of_GDP(%),2.49747
2007,data.Agriculture_value_added_share_of_GDP(%),2.28341
2008,data.Agriculture_value_added_share_of_GDP(%),2.14225
2009,data.Agriculture_value_added_share_of_GDP(%),2.24056
2010,data.Agriculture_value_added_share_of_GDP(%),2.14402
2011,data.Agriculture_value_added_share_of_GDP(%),2.2092
2012,data.Agriculture_value_added_share_of_GDP(%),2.18619
2013,data.Agriculture_value_added_share_of_GDP(%),2.09905
2014,data.Agriculture_value_added_share_of_GDP(%),2.05668
2015,data.Agriculture_value_added_share_of_GDP(%),2.00391
2016,data.Agriculture_value_added_share_of_GDP(%),1.85903
2017,data.Agriculture_value_added_share_of_GDP(%),1.85076
2018,data.Agriculture_value_added_share_of_GDP(%),1.7464
2019,data.Agriculture_value_added_share_of_GDP(%),1.67
2020,data.Agriculture_value_added_share_of_GDP(%),1.77
2021,data.Agriculture_value_added_share_of_GDP(%),1.79
