Year,Bounds,Value
2000,LB,14
2000,MP,16
2000,UB,18
2001,LB,13
2001,MP,14
2001,UB,16
2002,LB,13
2002,MP,14
2002,UB,16
2003,LB,13
2003,MP,15
2003,UB,16
2004,LB,12
2004,MP,14
2004,UB,16
2005,LB,13
2005,MP,14
2005,UB,16
2006,LB,12
2006,MP,13
2006,UB,15
2007,LB,13
2007,MP,14
2007,UB,16
2008,LB,13
2008,MP,14
2008,UB,16
2009,LB,14
2009,MP,15
2009,UB,17
2010,LB,14
2010,MP,15
2010,UB,16
2011,LB,13
2011,MP,14
2011,UB,15
2012,LB,12
2012,MP,13
2012,UB,14
2013,LB,11
2013,MP,12
2013,UB,14
2014,LB,10
2014,MP,12
2014,UB,13
2015,LB,9
2015,MP,11
2015,UB,13
