Year,지역,Value
2000,범주01_전국,2.6
2000,범주02_서울,1.3
2000,범주03_부산,1.4
2000,범주04_대구,1.6
2000,범주05_인천,2.4
2000,범주06_광주,3.2
2000,범주07_대전,2.9
2000,범주08_울산,1.7
2000,범주09_세종,
2000,범주10_경기,3
2000,범주11_강원,3.9
2000,범주12_충북,3.9
2000,범주13_충남,5.1
2000,범주14_전북,4.5
2000,범주15_전남,4.5
2000,범주16_경북,2.6
2000,범주17_경남,2.7
2000,범주18_제주,4.1
2001,범주01_전국,2.4
2001,범주02_서울,2.4
2001,범주03_부산,2.4
2001,범주04_대구,2.4
2001,범주05_인천,2.4
2001,범주06_광주,2.4
2001,범주07_대전,2.4
2001,범주08_울산,2.4
2001,범주09_세종,2.4
2001,범주10_경기,2.4
2001,범주11_강원,2.4
2001,범주12_충북,2.4
2001,범주13_충남,2.4
2001,범주14_전북,2.4
2001,범주15_전남,2.4
2001,범주16_경북,2.4
2001,범주17_경남,2.4
2001,범주18_제주,2.4
2002,범주01_전국,2.7
2002,범주02_서울,2.2
2002,범주03_부산,2
2002,범주04_대구,1.5
2002,범주05_인천,3.3
2002,범주06_광주,3.8
2002,범주07_대전,3.4
2002,범주08_울산,2.7
2002,범주09_세종,
2002,범주10_경기,3
2002,범주11_강원,3.8
2002,범주12_충북,3.7
2002,범주13_충남,4.1
2002,범주14_전북,3.5
2002,범주15_전남,3.4
2002,범주16_경북,2.2
2002,범주17_경남,1.9
2002,범주18_제주,3.2
2003,범주01_전국,2.5
2003,범주02_서울,1.8
2003,범주03_부산,1.6
2003,범주04_대구,1.8
2003,범주05_인천,2.4
2003,범주06_광주,3.1
2003,범주07_대전,2.6
2003,범주08_울산,2.2
2003,범주09_세종,
2003,범주10_경기,2.8
2003,범주11_강원,3.1
2003,범주12_충북,3.2
2003,범주13_충남,3.9
2003,범주14_전북,3.6
2003,범주15_전남,4.3
2003,범주16_경북,2.5
2003,범주17_경남,2.5
2003,범주18_제주,2.5
2004,범주01_전국,2.4
2004,범주02_서울,1.7
2004,범주03_부산,1.5
2004,범주04_대구,1.6
2004,범주05_인천,2.1
2004,범주06_광주,2.7
2004,범주07_대전,2.2
2004,범주08_울산,2.4
2004,범주09_세종,
2004,범주10_경기,2.8
2004,범주11_강원,3
2004,범주12_충북,3.2
2004,범주13_충남,3.9
2004,범주14_전북,3.5
2004,범주15_전남,4
2004,범주16_경북,2.1
2004,범주17_경남,1.7
2004,범주18_제주,2.8
2005,범주01_전국,2.2
2005,범주02_서울,1.5
2005,범주03_부산,1.2
2005,범주04_대구,1.7
2005,범주05_인천,2.1
2005,범주06_광주,2
2005,범주07_대전,2.1
2005,범주08_울산,1.9
2005,범주09_세종,
2005,범주10_경기,2.3
2005,범주11_강원,2.7
2005,범주12_충북,2.9
2005,범주13_충남,3.3
2005,범주14_전북,3.3
2005,범주15_전남,3.6
2005,범주16_경북,2.6
2005,범주17_경남,2.2
2005,범주18_제주,2.2
2006,범주01_전국,2.2
2006,범주02_서울,1.5
2006,범주03_부산,1.1
2006,범주04_대구,1.6
2006,범주05_인천,2
2006,범주06_광주,2.3
2006,범주07_대전,2
2006,범주08_울산,2.1
2006,범주09_세종,
2006,범주10_경기,2.2
2006,범주11_강원,2.9
2006,범주12_충북,2.6
2006,범주13_충남,3.7
2006,범주14_전북,3.6
2006,범주15_전남,3.6
2006,범주16_경북,3
2006,범주17_경남,2.6
2006,범주18_제주,3.2
2007,범주01_전국,2.3
2007,범주02_서울,1.4
2007,범주03_부산,1.7
2007,범주04_대구,1.8
2007,범주05_인천,1.8
2007,범주06_광주,2.2
2007,범주07_대전,1.8
2007,범주08_울산,2.5
2007,범주09_세종,
2007,범주10_경기,2.1
2007,범주11_강원,2.8
2007,범주12_충북,2.9
2007,범주13_충남,3.4
2007,범주14_전북,3.7
2007,범주15_전남,4.8
2007,범주16_경북,3.7
2007,범주17_경남,2.8
2007,범주18_제주,2.2
2008,범주01_전국,1.7
2008,범주02_서울,1.1
2008,범주03_부산,1.3
2008,범주04_대구,1.5
2008,범주05_인천,1.2
2008,범주06_광주,2.1
2008,범주07_대전,2.2
2008,범주08_울산,1.5
2008,범주09_세종,
2008,범주10_경기,1.6
2008,범주11_강원,2.3
2008,범주12_충북,2
2008,범주13_충남,2.7
2008,범주14_전북,2.4
2008,범주15_전남,3.2
2008,범주16_경북,2.3
2008,범주17_경남,2.4
2008,범주18_제주,1.9
2009,범주01_전국,1.7
2009,범주02_서울,1
2009,범주03_부산,1.5
2009,범주04_대구,1.2
2009,범주05_인천,1.9
2009,범주06_광주,1.7
2009,범주07_대전,2.2
2009,범주08_울산,1.3
2009,범주09_세종,
2009,범주10_경기,1.5
2009,범주11_강원,2.5
2009,범주12_충북,2.3
2009,범주13_충남,2.6
2009,범주14_전북,2.4
2009,범주15_전남,3.4
2009,범주16_경북,2.3
2009,범주17_경남,2.2
