Year,data.Household_expenditure_on_health,Value
2003,10%,8.3262
2004,10%,8.2488
2005,10%,9.5885
2006,10%,10.7819
2007,10%,11.8347
2008,10%,11.0983
2009,10%,12.1113
2010,10%,12.7047
2011,10%,12.2821
2012,10%,12.3406
2013,10%,12.3080
2014,10%,12.8535
2015,10%,13.5066
2016,10%,13.9453
2017,10%,13.2080
2018,10%,11.9570
2003,25%,0.9069
2004,25%,0.8388
2005,25%,1.4334
2006,25%,1.7845
2007,25%,2.2679
2008,25%,1.8818
2009,25%,2.0079
2010,25%,1.7441
2011,25%,1.7162
2012,25%,1.5678
2013,25%,1.7145
2014,25%,1.9115
2015,25%,2.1396
2016,25%,1.9604
2017,25%,1.4147
2018,25%,2.8691
