Year,성별,Value
2000,,0.9
2000,남,1
2000,여,0.7
2001,,0.8
2001,남,1
2001,여,0.6
2002,,0.6
2002,남,0.8
2002,여,0.4
2003,,0.5
2003,남,0.7
2003,여,0.5
2004,,0.5
2004,남,0.7
2004,여,0.3
2005,,0.6
2005,남,0.7
2005,여,0.4
2006,,0.6
2006,남,0.8
2006,여,0.4
2007,,0.5
2007,남,0.7
2007,여,0.2
2008,,0.5
2008,남,0.7
2008,여,0.2
2009,,0.4
2009,남,0.6
2009,여,0.2
2010,,0.4
2010,남,0.7
2010,여,0.2
2011,,0.4
2011,남,0.6
2011,여,0.2
2012,,0.6
2012,남,0.8
2012,여,0.3
2013,,0.5
2013,남,0.7
2013,여,0.3
2014,,0.4
2014,남,0.5
2014,여,0.3
2015,,0.4
2015,남,0.6
2015,여,0.3
2016,,0.6
2016,남,0.8
2016,여,0.4
2017,,0.6
2017,남,0.8
2017,여,0.3
2018,,0.6
2018,남,0.8
2018,여,0.3
2019,,0.4
2019,남,0.6
2019,여,0.3
