Year,백신종류,Value
2000,DTP3,97
2001,DTP3,97
2002,DTP3,97
2003,DTP3,97
2004,DTP3,88
2005,DTP3,96
2006,DTP3,98
2007,DTP3,91
2008,DTP3,94
2009,DTP3,94
2010,DTP3,94
2011,DTP3,99
2012,DTP3,99
2013,DTP3,99
2014,DTP3,99
2015,DTP3,98
2016,DTP3,98
2017,DTP3,97
2018,DTP3,98
2000,HPV,NA
2001,HPV,NA
2002,HPV,NA
2003,HPV,NA
2004,HPV,NA
2005,HPV,NA
2006,HPV,NA
2007,HPV,NA
2008,HPV,NA
2009,HPV,NA
2010,HPV,NA
2011,HPV,NA
2012,HPV,NA
2013,HPV,NA
2014,HPV,NA
2015,HPV,NA
2016,HPV,1.9
2017,HPV,49
2018,HPV,62.5
2000,MCV2,39
2001,MCV2,67
2002,MCV2,95
2003,MCV2,95
2004,MCV2,99
2005,MCV2,99
2006,MCV2,99
2007,MCV2,99
2008,MCV2,99
2009,MCV2,99
2010,MCV2,98
2011,MCV2,98
2012,MCV2,97
2013,MCV2,95
2014,MCV2,96
2015,MCV2,97
2016,MCV2,97
2017,MCV2,97
2018,MCV2,97
2000,PCV3,NA
2001,PCV3,NA
2002,PCV3,NA
2003,PCV3,NA
2004,PCV3,NA
2005,PCV3,NA
2006,PCV3,NA
2007,PCV3,NA
2008,PCV3,NA
2009,PCV3,NA
2010,PCV3,NA
2011,PCV3,NA
2012,PCV3,NA
2013,PCV3,NA
2014,PCV3,NA
2015,PCV3,97
2016,PCV3,98
2017,PCV3,97
2018,PCV3,97
