Year,직종별,Value
2003,범주01_전체,131855
2003,범주02_의사,60528
2003,범주03_치과의사,16144
2003,범주04_한의사,11210
2003,범주05_약사,29676
2003,범주06_물리치료사,13080
2003,범주07_작업치료사,315
2003,범주08_사회복지사,902
2004,범주01_전체,137793
2004,범주02_의사,63201
2004,범주03_치과의사,17032
2004,범주04_한의사,12035
2004,범주05_약사,29876
2004,범주06_물리치료사,14224
2004,범주07_작업치료사,429
2004,범주08_사회복지사,996
2005,범주01_전체,144083
2005,범주02_의사,65534
2005,범주03_치과의사,17771
2005,범주04_한의사,12808
2005,범주05_약사,30600
2005,범주06_물리치료사,15681
2005,범주07_작업치료사,550
2005,범주08_사회복지사,1139
2006,범주01_전체,150735
2006,범주02_의사,68143
2006,범주03_치과의사,18515
2006,범주04_한의사,13523
2006,범주05_약사,31237
2006,범주06_물리치료사,17185
2006,범주07_작업치료사,794
2006,범주08_사회복지사,1338
2007,범주01_전체,156386
2007,범주02_의사,70355
2007,범주03_치과의사,19092
2007,범주04_한의사,14109
2007,범주05_약사,31265
2007,범주06_물리치료사,18781
2007,범주07_작업치료사,1222
2007,범주08_사회복지사,1562
2008,범주01_전체,165592
2008,범주02_의사,75714
2008,범주03_치과의사,19751
2008,범주04_한의사,14818
2008,범주05_약사,31635
2008,범주06_물리치료사,20218
2008,범주07_작업치료사,1744
2008,범주08_사회복지사,1712
2009,범주01_전체,172489
2009,범주02_의사,79046
2009,범주03_치과의사,20415
2009,범주04_한의사,15626
2009,범주05_약사,31994
2009,범주06_물리치료사,21335
2009,범주07_작업치료사,2191
2009,범주08_사회복지사,1882
2010,범주01_전체,179101
2010,범주02_의사,82137
2010,범주03_치과의사,20936
2010,범주04_한의사,16156
2010,범주05_약사,32152
2010,범주06_물리치료사,22827
2010,범주07_작업치료사,2693
2010,범주08_사회복지사,2200
2011,범주01_전체,185934
2011,범주02_의사,84544
2011,범주03_치과의사,21410
2011,범주04_한의사,16826
2011,범주05_약사,33643
2011,범주06_물리치료사,24017
2011,범주07_작업치료사,3094
2011,범주08_사회복지사,2400
2012,범주01_전체,190273
2012,범주02_의사,86761
2012,범주03_치과의사,21888
2012,범주04_한의사,17353
2012,범주05_약사,32560
2012,범주06_물리치료사,25475
2012,범주07_작업치료사,3594
2012,범주08_사회복지사,2642
2013,범주01_전체,197912
2013,범주02_의사,90710
2013,범주03_치과의사,22482
2013,범주04_한의사,18199
2013,범주05_약사,32537
2013,범주06_물리치료사,27111
2013,범주07_작업치료사,3966
2013,범주08_사회복지사,2907
2014,범주01_전체,204340
2014,범주02_의사,92927
2014,범주03_치과의사,22952
2014,범주04_한의사,18767
2014,범주05_약사,32645
2014,범주06_물리치료사,29326
2014,범주07_작업치료사,4667
2014,범주08_사회복지사,3056
2015,범주01_전체,210707
2015,범주02_의사,95076
2015,범주03_치과의사,23540
2015,범주04_한의사,19246
2015,범주05_약사,33206
2015,범주06_물리치료사,31194
2015,범주07_작업치료사,5133
2015,범주08_사회복지사,3312
2016,범주01_전체,218296
2016,범주02_의사,97713
2016,범주03_치과의사,24150
2016,범주04_한의사,19737
2016,범주05_약사,33946
2016,범주06_물리치료사,33345
2016,범주07_작업치료사,5837
2016,범주08_사회복지사,3506
2016,범주09_조산사,62
2017,범주01_전체,228411
2017,범주02_의사,100241
2017,범주03_치과의사,25300
2017,범주04_한의사,20389
2017,범주05_약사,36980
2017,범주06_물리치료사,35587
2017,범주07_작업치료사,6258
2017,범주08_사회복지사,3588
2017,범주09_조산사,68
2018,범주01_전체,235556
2018,범주02_의사,102471
2018,범주03_치과의사,25792
2018,범주04_한의사,20759
2018,범주05_약사,37837
2018,범주06_물리치료사,38015
2018,범주07_작업치료사,6807
2018,범주08_사회복지사,3800
2018,범주09_조산사,75
2019,범주01_전체,245771
2019,범주02_의사,105628
2019,범주03_치과의사,26486
2019,범주04_한의사,21630
2019,범주05_약사,38941
2019,범주06_물리치료사,41457
2019,범주07_작업치료사,7465
2019,범주08_사회복지사,4095
2019,범주09_조산사,69
2020,범주01_전체,252694
2020,범주02_의사,107976
2020,범주03_치과의사,26978
2020,범주04_한의사,22038
2020,범주05_약사,39765
2020,범주06_물리치료사,43735
2020,범주07_작업치료사,7996
2020,범주08_사회복지사,4136
2020,범주09_조산사,70
