year,data.sex,data.category,value
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,RURAL,100
2012,data.FEMALE,RURAL,100
2012,data.MALE,RURAL,100
2012,data.BOTHSEX,URBAN,100
2012,data.FEMALE,URBAN,100
2012,data.MALE,URBAN,100
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,ALLAREA,100
2012,data.FEMALE,ALLAREA,100
2012,data.MALE,ALLAREA,100
2012,data.BOTHSEX,data.ALLAREA,100
2012,data.FEMALE,data.ALLAREA,100
2012,data.MALE,data.ALLAREA,100
2012,data.BOTHSEX,data.RURAL,100
2012,data.FEMALE,data.RURAL,100
2012,data.MALE,data.RURAL,100
2012,data.BOTHSEX,data.URBAN,100
2012,data.FEMALE,data.URBAN,100
2012,data.MALE,data.URBAN,100
2012,data.BOTHSEX,data.ALLAREA,98.57
2012,data.FEMALE,data.ALLAREA,98.89
2012,data.MALE,data.ALLAREA,98.07
2012,data.BOTHSEX,data.ALLAREA,95.16
2012,data.FEMALE,data.ALLAREA,93.08
2012,data.MALE,data.ALLAREA,97.72
2012,data.BOTHSEX,data.ALLAREA,98.79
2012,data.FEMALE,data.ALLAREA,99.03
2012,data.MALE,data.ALLAREA,98.28
2012,data.BOTHSEX,data.ALLAREA,98.94
2012,data.FEMALE,data.ALLAREA,100
2012,data.MALE,data.ALLAREA,97.3
2012,data.BOTHSEX,data.ALLAREA,98.71
2012,data.FEMALE,data.ALLAREA,100
2012,data.MALE,data.ALLAREA,96.95
2012,data.BOTHSEX,data.ALLAREA,99.81
2012,data.FEMALE,data.ALLAREA,99.68
2012,data.MALE,data.ALLAREA,100
2012,data.BOTHSEX,data.RURAL,95.19
2012,data.FEMALE,data.RURAL,93.6
2012,data.MALE,data.RURAL,97.84
2012,data.BOTHSEX,data.URBAN,98.95
2012,data.FEMALE,data.URBAN,99.44
2012,data.MALE,data.URBAN,98.19
