Year,data.School_environment_indicators,data.School,Value
2000,data.Computer,data.Middle_school,100
2000,data.Computer,data.Elementary_school,100
2000,data.Computer,data.High_school,100
2001,data.Computer,data.Middle_school,100
2001,data.Computer,data.Elementary_school,100
2001,data.Computer,data.High_school,100
2002,data.Computer,data.Middle_school,100
2002,data.Computer,data.Elementary_school,100
2002,data.Computer,data.High_school,100
2003,data.Computer,data.Middle_school,100
2003,data.Computer,data.Elementary_school,100
2003,data.Computer,data.High_school,100
2004,data.Computer,data.Middle_school,100
2004,data.Computer,data.Elementary_school,100
2004,data.Computer,data.High_school,100
2005,data.Computer,data.Middle_school,100
2005,data.Computer,data.Elementary_school,100
2005,data.Computer,data.High_school,100
2006,data.Computer,data.Middle_school,100
2006,data.Computer,data.Elementary_school,100
2006,data.Computer,data.High_school,100
2007,data.Computer,data.Middle_school,100
2007,data.Computer,data.Elementary_school,100
2007,data.Computer,data.High_school,100
2008,data.Computer,data.Middle_school,100
2008,data.Computer,data.Elementary_school,100
2008,data.Computer,data.High_school,100
2009,data.Computer,data.Middle_school,100
2009,data.Computer,data.Elementary_school,100
2009,data.Computer,data.High_school,100
2010,data.Computer,data.Middle_school,100
2010,data.Computer,data.Elementary_school,100
2010,data.Computer,data.High_school,100
2011,data.Computer,data.Middle_school,100
2011,data.Computer,data.Elementary_school,100
2011,data.Computer,data.High_school,100
2012,data.Computer,data.Middle_school,100
2012,data.Computer,data.Elementary_school,100
2012,data.Computer,data.High_school,100
2013,data.Computer,data.Middle_school,100
2013,data.Computer,data.Elementary_school,100
2013,data.Computer,data.High_school,100
2014,data.Computer,data.Middle_school,100
2014,data.Computer,data.Elementary_school,100
2014,data.Computer,data.High_school,100
2015,data.Computer,data.Middle_school,100
2015,data.Computer,data.Elementary_school,100
2015,data.Computer,data.High_school,100
2016,data.Computer,data.Middle_school,100
2016,data.Computer,data.Elementary_school,100
2016,data.Computer,data.High_school,100
2017,data.Computer,data.Middle_school,100
2017,data.Computer,data.Elementary_school,100
2017,data.Computer,data.High_school,100
2018,data.Computer,data.Middle_school,100
2018,data.Computer,data.Elementary_school,100
2018,data.Computer,data.High_school,100
2019,data.Computer,data.Middle_school,100
2019,data.Computer,data.Elementary_school,100
2019,data.Computer,data.High_school,100
2020,data.Computer,data.Middle_school,100
2020,data.Computer,data.Elementary_school,100
2020,data.Computer,data.High_school,100
2000,data.Drinking_water,data.Middle_school,100
2000,data.Drinking_water,data.Elementary_school,100
2000,data.Drinking_water,data.High_school,100
