Year,유형,성별,Value
1999,가정관리,,110
1999,가정관리,남,24
1999,가정관리,여,192
1999,가족및가구원돌봄,,30
1999,가족및가구원돌봄,남,9
1999,가족및가구원돌봄,여,49
2004,가정관리,,102
2004,가정관리,남,26
2004,가정관리,여,174
2004,가족및가구원돌봄,,30
2004,가족및가구원돌봄,남,11
2004,가족및가구원돌봄,여,48
2009,가정관리,,103
2009,가정관리,남,31
2009,가정관리,여,170
2009,가족및가구원돌봄,,29
2009,가족및가구원돌봄,남,11
2009,가족및가구원돌봄,여,47
2014,가정관리,,103
2014,가정관리,남,35
2014,가정관리,여,167
2014,가족및가구원돌봄,,27
2014,가족및가구원돌봄,남,12
2014,가족및가구원돌봄,여,41
2019,가정관리,,102
2019,가정관리,남,44
2019,가정관리,여,157
2019,가족및가구원돌봄,,24
2019,가족및가구원돌봄,남,12
2019,가족및가구원돌봄,여,36
