Year,Category,Units,Value
2005,Permanent,square kilometres,1805.39472
2006,Permanent,square kilometres,1802.39731
2007,Permanent,square kilometres,1820.19114
2008,Permanent,square kilometres,1824.21099
2009,Permanent,square kilometres,1808.677
2010,Permanent,square kilometres,1791.80494
2011,Permanent,square kilometres,1800.13395
2012,Permanent,square kilometres,1805.88323
2013,Permanent,square kilometres,1805.91972
2014,Permanent,square kilometres,1806.55157
2015,Permanent,square kilometres,1820.05819
2016,Permanent,square kilometres,1814.39734
2005,Permanent and maybe permanent,square kilometres,1809.69318
2006,Permanent and maybe permanent,square kilometres,1807.22317
2007,Permanent and maybe permanent,square kilometres,1825.0183
2008,Permanent and maybe permanent,square kilometres,1829.20087
2009,Permanent and maybe permanent,square kilometres,1811.97203
2010,Permanent and maybe permanent,square kilometres,1795.50281
2011,Permanent and maybe permanent,square kilometres,1805.08304
2012,Permanent and maybe permanent,square kilometres,1811.8589
2013,Permanent and maybe permanent,square kilometres,1813.81041
2014,Permanent and maybe permanent,square kilometres,1814.23674
2015,Permanent and maybe permanent,square kilometres,1827.44912
2016,Permanent and maybe permanent,square kilometres,1820.02355
2005,Permanent and maybe permanent,% of total land area,1.87611
2006,Permanent and maybe permanent,% of total land area,1.86812
2007,Permanent and maybe permanent,% of total land area,1.88554
2008,Permanent and maybe permanent,% of total land area,1.88967
2009,Permanent and maybe permanent,% of total land area,1.87149
2010,Permanent and maybe permanent,% of total land area,1.8539
2011,Permanent and maybe permanent,% of total land area,1.86322
2012,Permanent and maybe permanent,% of total land area,1.86944
2013,Permanent and maybe permanent,% of total land area,1.86933
2014,Permanent and maybe permanent,% of total land area,1.86842
2015,Permanent and maybe permanent,% of total land area,1.87951
2016,Permanent and maybe permanent,% of total land area,1.87187
2005,Permanent,% of total land area,1.87165
2006,Permanent,% of total land area,1.86314
2007,Permanent,% of total land area,1.88056
2008,Permanent,% of total land area,1.88452
2009,Permanent,% of total land area,1.86808
2010,Permanent,% of total land area,1.85008
2011,Permanent,% of total land area,1.85811
2012,Permanent,% of total land area,1.86327
2013,Permanent,% of total land area,1.8612
2014,Permanent,% of total land area,1.86051
2015,Permanent,% of total land area,1.87191
2016,Permanent,% of total land area,1.86609
