Year,지역구분,Value
2000,,100
2000,농촌,100
2000,도시,99.99666
2001,,100
2001,농촌,100
2001,도시,100
2002,,100
2002,농촌,100
2002,도시,100
2003,,100
2003,농촌,100
2003,도시,100
2004,,100
2004,농촌,100
2004,도시,100
2005,,100
2005,농촌,100
2005,도시,100
2006,,100
2006,농촌,100
2006,도시,100
2007,,100
2007,농촌,100
2007,도시,100
2008,,100
2008,농촌,100
2008,도시,100
2009,,100
2009,농촌,100
2009,도시,100
2010,,100
2010,농촌,100
2010,도시,100
2011,,100
2011,농촌,100
2011,도시,100
2012,,100
2012,농촌,100
2012,도시,100
2013,,100
2013,농촌,100
2013,도시,100
2014,,100
2014,농촌,100
2014,도시,100
2015,,100
2015,농촌,100
2015,도시,100
2016,,100
2016,농촌,100
2016,도시,100
2017,,100
2017,농촌,100
2017,도시,100
