Year,data.Banking_service,Value
2004,data.ATMs,208.158009939999
2005,data.ATMs,212.13575440605
2006,data.ATMs,218.236550189578
2007,data.ATMs,234.219408619483
2008,data.ATMs,241.795990202743
2009,data.ATMs,247.090642194762
2010,data.ATMs,265.375150216093
2011,data.ATMs,281.231399925897
2012,data.ATMs,288.445031623041
2013,data.ATMs,288.585452999092
2014,data.ATMs,280.808057799033
2015,data.ATMs,275.880821776724
2016,data.ATMs,271.395911763235
2017,data.ATMs,272.040425674793
2018,data.ATMs,266.967031946223
2019,data.ATMs,264.6215
2004,data.Commercial_bank_branches,16.7975690778461
2005,data.Commercial_bank_branches,17.3319707747024
2006,data.Commercial_bank_branches,17.8238438996295
2007,data.Commercial_bank_branches,18.3071375421041
2008,data.Commercial_bank_branches,18.696696189598
2009,data.Commercial_bank_branches,18.1921552973483
2010,data.Commercial_bank_branches,18.1791478775785
2011,data.Commercial_bank_branches,18.2208197712459
2012,data.Commercial_bank_branches,18.3123684524569
2013,data.Commercial_bank_branches,18.0209113651996
2014,data.Commercial_bank_branches,17.1967351508063
2015,data.Commercial_bank_branches,16.7514660374712
2016,data.Commercial_bank_branches,16.2288014664664
2017,data.Commercial_bank_branches,15.4054433925079
2018,data.Commercial_bank_branches,15.2789245382779
2019,data.Commercial_bank_branches,15.1070435770607
2020,data.Commercial_bank_branches,14.3709
