Year,Sex,Type of occupation,Value
2009,,isco08,14463
2009,,isco08-1,28414
2009,,isco08-4,15722
2009,,isco08-5,12249
2009,,isco08-6,10240
2009,,isco08-7,12281
2009,,isco08-8,11544
2009,,isco08-9,7270
2009,,isco08-X,17728
2009,FEMALE,isco08,10589
2009,FEMALE,isco08-1,22478
2009,FEMALE,isco08-4,11410
2009,FEMALE,isco08-5,8721
2009,FEMALE,isco08-6,7058
2009,FEMALE,isco08-7,7185
2009,FEMALE,isco08-8,8312
2009,FEMALE,isco08-9,6414
2009,FEMALE,isco08-X,12670
2009,MALE,isco08,16313
2009,MALE,isco08-1,28945
2009,MALE,isco08-4,18932
2009,MALE,isco08-5,15188
2009,MALE,isco08-6,11069
2009,MALE,isco08-7,13071
2009,MALE,isco08-8,12181
2009,MALE,isco08-9,7853
2009,MALE,isco08-X,20461
2010,,isco08,15088
2010,,isco08-1,30221
2010,,isco08-4,16406
2010,,isco08-5,12750
2010,,isco08-6,11377
2010,,isco08-7,12787
2010,,isco08-8,11561
2010,,isco08-9,7449
2010,,isco08-X,18716
2010,FEMALE,isco08,11174
2010,FEMALE,isco08-1,23272
2010,FEMALE,isco08-4,12143
2010,FEMALE,isco08-5,8985
2010,FEMALE,isco08-6,7555
2010,FEMALE,isco08-7,7458
2010,FEMALE,isco08-8,8334
2010,FEMALE,isco08-9,6667
2010,FEMALE,isco08-X,13388
2010,MALE,isco08,17001
2010,MALE,isco08-1,30844
2010,MALE,isco08-4,19562
2010,MALE,isco08-5,15844
2010,MALE,isco08-6,12244
2010,MALE,isco08-7,13643
2010,MALE,isco08-8,12154
2010,MALE,isco08-9,8003
2010,MALE,isco08-X,21768
2011,,isco08,15954
2011,,isco08-1,33815
2011,,isco08-4,17909
2011,,isco08-5,13476
2011,,isco08-6,11955
2011,,isco08-7,13661
2011,,isco08-8,12823
2011,,isco08-9,8250
2011,,isco08-X,19579
2011,FEMALE,isco08,11931
2011,FEMALE,isco08-1,25757
2011,FEMALE,isco08-4,13381
2011,FEMALE,isco08-5,10000
2011,FEMALE,isco08-6,9514
2011,FEMALE,isco08-7,7843
2011,FEMALE,isco08-8,9513
2011,FEMALE,isco08-9,7175
2011,FEMALE,isco08-X,14245
2011,MALE,isco08,17962
2011,MALE,isco08-1,34547
2011,MALE,isco08-4,20974
2011,MALE,isco08-5,16562
2011,MALE,isco08-6,13112
2011,MALE,isco08-7,14449
2011,MALE,isco08-8,13515
2011,MALE,isco08-9,9053
2011,MALE,isco08-X,22851
2012,,isco08,17074
2012,,isco08-1,36266
2012,,isco08-4,19607
2012,,isco08-5,13747
2012,,isco08-6,12557
2012,,isco08-7,14491
2012,,isco08-8,13521
2012,,isco08-9,8611
2012,,isco08-X,20897
2012,FEMALE,isco08,12923
2012,FEMALE,isco08-1,26973
2012,FEMALE,isco08-4,14722
2012,FEMALE,isco08-5,10811
2012,FEMALE,isco08-6,9474
2012,FEMALE,isco08-7,8604
2012,FEMALE,isco08-8,9886
2012,FEMALE,isco08-9,7740
2012,FEMALE,isco08-X,15401
2012,MALE,isco08,19200
2012,MALE,isco08-1,37117
2012,MALE,isco08-4,22852
2012,MALE,isco08-5,16762
2012,MALE,isco08-6,13030
2012,MALE,isco08-7,15360
2012,MALE,isco08-8,14333
2012,MALE,isco08-9,9294
2012,MALE,isco08-X,24206
2013,,isco08,18459
2013,,isco08-1,39863
2013,,isco08-4,20922
2013,,isco08-5,14799
2013,,isco08-6,12414
2013,,isco08-7,15838
2013,,isco08-8,14453
2013,,isco08-9,9402
2013,,isco08-X,22352
2013,FEMALE,isco08,13954
2013,FEMALE,isco08-1,28661
2013,FEMALE,isco08-4,15670
2013,FEMALE,isco08-5,11105
2013,FEMALE,isco08-6,8825
2013,FEMALE,isco08-7,9432
2013,FEMALE,isco08-8,10691
2013,FEMALE,isco08-9,8451
2013,FEMALE,isco08-X,16604
2013,MALE,isco08,20808
2013,MALE,isco08-1,41219
2013,MALE,isco08-4,24677
2013,MALE,isco08-5,18255
2013,MALE,isco08-6,12868
2013,MALE,isco08-7,16788
2013,MALE,isco08-8,15250
2013,MALE,isco08-9,10178
2013,MALE,isco08-X,26076
2014,,isco08,19108
2014,,isco08-1,44788
2014,,isco08-4,21808
2014,,isco08-5,14342
2014,,isco08-6,12621
2014,,isco08-7,17258
2014,,isco08-8,14836
2014,,isco08-9,9689
2014,,isco08-X,22840
2014,FEMALE,isco08,14389
2014,FEMALE,isco08-1,34563
2014,FEMALE,isco08-4,16504
2014,FEMALE,isco08-5,10699
2014,FEMALE,isco08-6,10694
2014,FEMALE,isco08-7,11631
2014,FEMALE,isco08-8,13459
2014,FEMALE,isco08-9,8696
2014,FEMALE,isco08-X,16318
2014,MALE,isco08,21737
2014,MALE,isco08-1,46039
2014,MALE,isco08-4,25637
2014,MALE,isco08-5,18287
2014,MALE,isco08-6,13096
2014,MALE,isco08-7,18113
2014,MALE,isco08-8,15171
2014,MALE,isco08-9,10531
2014,MALE,isco08-X,27092
2015,,isco08,18142
2015,,isco08-1,44916
2015,,isco08-4,20410
2015,,isco08-5,13394
2015,,isco08-6,11473
2015,,isco08-7,15633
2015,,isco08-8,14918
2015,,isco08-9,9379
2015,,isco08-X,21782
2015,FEMALE,isco08,13545
2015,FEMALE,isco08-1,33962
2015,FEMALE,isco08-4,15449
2015,FEMALE,isco08-5,10105
2015,FEMALE,isco08-6,8514
2015,FEMALE,isco08-7,9775
2015,FEMALE,isco08-8,12480
2015,FEMALE,isco08-9,8525
2015,FEMALE,isco08-X,15577
2015,MALE,isco08,20734
2015,MALE,isco08-1,46228
2015,MALE,isco08-4,24013
2015,MALE,isco08-5,16891
2015,MALE,isco08-6,12281
2015,MALE,isco08-7,16544
2015,MALE,isco08-8,15441
2015,MALE,isco08-9,10159
2015,MALE,isco08-X,25966
