Year,구분,Value
2006,약정액-공여국별,218.13744
2007,약정액-공여국별,556.19098
2008,약정액-공여국별,755.02785
2009,약정액-공여국별,1256.6457
2010,약정액-공여국별,841.05252
2011,약정액-공여국별,847.33444
2012,약정액-공여국별,877.114
2013,약정액-공여국별,763.89936
2014,약정액-공여국별,1103.88698
2015,약정액-공여국별,960.76196
2016,약정액-공여국별,1095.05299
2017,약정액-공여국별,1222.16063
2018,약정액-공여국별,1552.4664
2006,집행액-공여국별,166.02126
2007,집행액-공여국별,181.51107
2008,집행액-공여국별,278.34209
2009,집행액-공여국별,316.26194
2010,집행액-공여국별,395.22283
2011,집행액-공여국별,457.85626
2012,집행액-공여국별,482.58247
2013,집행액-공여국별,588.43635
2014,집행액-공여국별,551.05967
2015,집행액-공여국별,632.84669
2016,집행액-공여국별,609.82249
2017,집행액-공여국별,574.63669
2018,집행액-공여국별,649.56455
