Year,Units,Value
2000,Percentage (%) of GDP,22.67
2001,Percentage (%) of GDP,22.5
2002,Percentage (%) of GDP,22.83
2003,Percentage (%) of GDP,23.27
2004,Percentage (%) of GDP,24.39
2005,Percentage (%) of GDP,24.81
2006,Percentage (%) of GDP,25.4
2007,Percentage (%) of GDP,26.1
2008,Percentage (%) of GDP,26.36
2009,Percentage (%) of GDP,26.08
2010,Percentage (%) of GDP,27.78
2011,Percentage (%) of GDP,28.55
2012,Percentage (%) of GDP,28.6
2013,Percentage (%) of GDP,28.8
2014,Percentage (%) of GDP,28.84
2015,Percentage (%) of GDP,28.53
2016,Percentage (%) of GDP,28.44
2017,Percentage (%) of GDP,28.62
2018,Percentage (%) of GDP,28.77
2000,GDP per capita,3397.6
2001,GDP per capita,3500.1
2002,GDP per capita,3791.3
2003,GDP per capita,3957.3
2004,GDP per capita,4330.1
2005,GDP per capita,4557.7
2006,GDP per capita,4887.9
2007,GDP per capita,5279
2008,GDP per capita,5465.4
2009,GDP per capita,5427.4
2010,GDP per capita,6134.9
2011,GDP per capita,6513.3
2012,GDP per capita,6646.3
2013,GDP per capita,6856.8
2014,GDP per capita,7065.5
2015,GDP per capita,7155
2016,GDP per capita,7304.3
2017,GDP per capita,7547.9
2018,GDP per capita,7769
