Year,Reasons,Value
2019,① Sex,13.9
2019,② Age,13.6
2019,③ Socio-Eoconomic status,10.3
2019,④ Forms of employment,7.8
2019,⑤ Educational background,7.7
2019,⑥ Physical condition,6.6
2019,⑦ Political opinion,4.1
2019,⑧ Marital status such as being single/married/divorced/widowed,3.3
2019,⑨ Geographic_location or_Place of residence,2.7
2019,⑩ Marital status such as being pregnant/with or without children,2.6
2019,⑪ Health status,2.3
2019,⑫ Religion,2.2
2019,⑬ Disability,1.7
2019,⑭ Ethnicity/Colour/Language/Migration_status,1.4
2019,⑮ Marital status such as being orphan/born from unmarried parents,1.2
