Year,Category,Type of product,Value
2005,most-favoured-nation status,Agricultural products,86.03
2010,most-favoured-nation status,Agricultural products,81.91
2015,most-favoured-nation status,Agricultural products,81.16
2016,most-favoured-nation status,Agricultural products,84.76
2017,most-favoured-nation status,Agricultural products,71.62
2018,most-favoured-nation status,Agricultural products,71.62
2019,most-favoured-nation status,Agricultural products,79.48
2005,most-favoured-nation status,Total or no breakdown,7.9
2010,most-favoured-nation status,Total or no breakdown,7.2
2015,most-favoured-nation status,Total or no breakdown,8.71
2016,most-favoured-nation status,Total or no breakdown,8.69
2017,most-favoured-nation status,Total or no breakdown,8.58
2018,most-favoured-nation status,Total or no breakdown,8.58
2019,most-favoured-nation status,Total or no breakdown,9.03
2005,most-favoured-nation status,Arms,0.09
2010,most-favoured-nation status,Arms,0.09
2015,most-favoured-nation status,Arms,0.23
2016,most-favoured-nation status,Arms,0.24
2017,most-favoured-nation status,Arms,0.26
2018,most-favoured-nation status,Arms,0.26
2019,most-favoured-nation status,Arms,4.85
2005,most-favoured-nation status,Clothing,12.85
2010,most-favoured-nation status,Clothing,12.8
2015,most-favoured-nation status,Clothing,12.84
2016,most-favoured-nation status,Clothing,12.87
2017,most-favoured-nation status,Clothing,12.83
2018,most-favoured-nation status,Clothing,12.83
2019,most-favoured-nation status,Clothing,12.85
2005,most-favoured-nation status,Industrial products,4.02
2010,most-favoured-nation status,Industrial products,3.75
2015,most-favoured-nation status,Industrial products,4.22
2016,most-favoured-nation status,Industrial products,3.86
2017,most-favoured-nation status,Industrial products,4.92
2018,most-favoured-nation status,Industrial products,4.92
2019,most-favoured-nation status,Industrial products,4.79
2005,most-favoured-nation status,Oil,5.0
2010,most-favoured-nation status,Oil,3.0
2015,most-favoured-nation status,Oil,3.0
2016,most-favoured-nation status,Oil,3.0
2017,most-favoured-nation status,Oil,3.0
2018,most-favoured-nation status,Oil,3.0
2019,most-favoured-nation status,Oil,3.0
2005,most-favoured-nation status,Textiles,8.52
2010,most-favoured-nation status,Textiles,8.08
2015,most-favoured-nation status,Textiles,8.23
2016,most-favoured-nation status,Textiles,8.26
2017,most-favoured-nation status,Textiles,8.25
2018,most-favoured-nation status,Textiles,8.25
2019,most-favoured-nation status,Textiles,8.29
2005,preferencial status,Agricultural products,85.92
2010,preferencial status,Agricultural products,81.35
2015,preferencial status,Agricultural products,68.04
2016,preferencial status,Agricultural products,72.26
2017,preferencial status,Agricultural products,52.19
2018,preferencial status,Agricultural products,49.71
2019,preferencial status,Agricultural products,61.11
2005,preferencial status,Total or no breakdown,7.86
2010,preferencial status,Total or no breakdown,6.88
2015,preferencial status,Total or no breakdown,6.07
2016,preferencial status,Total or no breakdown,6.65
2017,preferencial status,Total or no breakdown,4.9
2018,preferencial status,Total or no breakdown,4.68
2019,preferencial status,Total or no breakdown,5.23
2005,preferencial status,Arms,0.09
2010,preferencial status,Arms,0.09
2015,preferencial status,Arms,0.01
2016,preferencial status,Arms,0.01
2017,preferencial status,Arms,0.004
2018,preferencial status,Arms,0.004
2019,preferencial status,Arms,4.78
2005,preferencial status,Clothing,11.69
2010,preferencial status,Clothing,10.17
2015,preferencial status,Clothing,5.3
2016,preferencial status,Clothing,5.75
2017,preferencial status,Clothing,3.74
2018,preferencial status,Clothing,3.45
2019,preferencial status,Clothing,3.17
2005,preferencial status,Industrial products,3.99
2010,preferencial status,Industrial products,3.42
2015,preferencial status,Industrial products,2.07
2016,preferencial status,Industrial products,2.4
2017,preferencial status,Industrial products,1.94
2018,preferencial status,Industrial products,1.86
2019,preferencial status,Industrial products,1.63
2005,preferencial status,Oil,5.0
2010,preferencial status,Oil,2.99
2015,preferencial status,Oil,2.83
2016,preferencial status,Oil,2.9
2017,preferencial status,Oil,2.78
2018,preferencial status,Oil,2.77
2019,preferencial status,Oil,2.55
2005,preferencial status,Textiles,8.45
2010,preferencial status,Textiles,7.02
2015,preferencial status,Textiles,4.66
2016,preferencial status,Textiles,5.22
2017,preferencial status,Textiles,3.51
2018,preferencial status,Textiles,3.26
2019,preferencial status,Textiles,3.14
